Age,Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status
51.0,94368.0,Mortgage,4.0,Personal,A,5000.0,8.606,0.05,N,30.0,False
62.0,16800.0,Rent,0.0,Venture,A,2500.0,6.91,0.15,N,24.0,False
36.0,55000.0,Rent,5.0,Venture,A,7000.0,6.92,0.13,N,16.0,False
39.0,44500.0,Rent,5.0,Medical,A,6000.0,7.88,0.13,N,17.0,False
36.0,24000.0,Mortgage,2.0,Debtconsolidation,A,1500.0,9.63,0.06,N,16.0,False
41.0,31000.0,Rent,3.0,Venture,B,8000.0,10.38,0.26,N,17.0,False
38.0,118000.0,Mortgage,12.0,Personal,B,11400.0,10.59,0.1,N,16.0,False
37.0,42000.0,Rent,0.0,Personal,E,20000.0,14.25,0.48,Y,17.0,True
38.0,22000.0,Rent,2.0,Debtconsolidation,C,2350.0,14.17,0.11,Y,16.0,False
48.0,70000.0,Mortgage,31.0,Homeimprovement,D,9000.0,14.54,0.13,N,17.0,False
53.0,46000.0,Own,9.0,Personal,B,4925.0,11.71,0.11,N,28.0,False
41.0,43000.0,Rent,2.0,Medical,C,4000.0,13.23,0.09,N,16.0,False
40.0,65000.0,Rent,1.0,Homeimprovement,B,5000.0,9.63,0.08,N,17.0,False
55.0,39000.0,Rent,2.0,Homeimprovement,B,13000.0,11.48,0.33,N,27.0,True
38.0,17760.0,Own,4.0,Medical,C,2800.0,9.228,0.16,N,16.0,True
36.0,125000.0,Mortgage,14.0,Medical,A,14500.0,10.474,0.12,N,16.0,False
37.0,45000.0,Rent,0.0,Education,A,8000.0,9.63,0.18,N,17.0,False
54.0,65000.0,Mortgage,4.0,Personal,D,9600.0,15.99,0.15,N,20.0,False
57.0,56650.0,Rent,1.0,Personal,C,5000.0,15.96,0.09,N,24.0,False
37.0,50000.0,Rent,5.0,Homeimprovement,B,8000.0,10.99,0.16,N,16.0,False
64.0,56000.0,Rent,0.0,Debtconsolidation,E,10000.0,16.82,0.18,Y,18.0,True
42.0,22800.0,Rent,6.0,Education,B,10000.0,10.99,0.44,N,17.0,True
40.0,35827.0,Rent,13.0,Medical,B,5000.0,10.75,0.14,N,16.0,False
37.0,68500.0,Rent,2.0,Personal,A,8000.0,7.51,0.12,N,16.0,False
36.0,50700.0,Rent,2.0,Homeimprovement,B,8000.0,10.99,0.16,N,17.0,False
65.0,45900.0,Rent,2.0,Personal,C,10000.0,8.491999999999999,0.22,N,29.0,False
40.0,8628.0,Own,4.0,Debtconsolidation,A,2500.0,10.688,0.29,N,17.0,True
38.0,21000.0,Mortgage,5.0,Homeimprovement,C,3000.0,13.43,0.14,Y,17.0,False
36.0,122000.0,Rent,2.0,Homeimprovement,A,15000.0,12.2,0.12,N,17.0,False
40.0,53000.0,Mortgage,2.0,Medical,B,3000.0,10.62,0.06,N,17.0,False
58.0,45000.0,Mortgage,3.0,Personal,A,3500.0,6.76,0.08,N,20.0,False
41.0,103000.0,Mortgage,2.0,Debtconsolidation,D,20000.0,14.61,0.19,Y,16.0,True
60.0,31500.0,Rent,2.0,Debtconsolidation,C,4650.0,13.23,0.15,N,27.0,False
41.0,90000.0,Mortgage,3.0,Personal,A,3000.0,7.14,0.03,N,17.0,False
52.0,30000.0,Rent,6.0,Medical,C,5000.0,12.73,0.17,Y,18.0,False
40.0,165000.0,Mortgage,18.0,Debtconsolidation,A,9000.0,7.51,0.05,N,16.0,False
38.0,39000.0,Rent,1.0,Education,E,5000.0,17.74,0.13,N,17.0,True
38.0,160000.0,Mortgage,12.0,Education,A,14000.0,6.62,0.09,N,16.0,False
36.0,174462.0,Rent,9.0,Venture,E,20000.0,17.04,0.11,N,16.0,True
51.0,74628.0,Mortgage,3.0,Personal,C,3000.0,13.49,0.04,Y,18.0,False
38.0,24000.0,Mortgage,6.0,Debtconsolidation,A,1500.0,6.03,0.06,N,16.0,False
39.0,43680.0,Rent,9.0,Medical,B,16000.0,12.652000000000001,0.37,N,16.0,True
46.0,88400.0,Mortgage,1.0,Medical,E,30000.0,18.39,0.29,N,16.0,True
36.0,72000.0,Own,5.0,Venture,B,6000.0,11.36,0.08,N,17.0,False
46.0,60070.0,Rent,2.0,Personal,C,5500.0,14.22,0.09,Y,17.0,False
36.0,81996.0,Rent,4.0,Personal,D,15000.0,14.09,0.18,N,16.0,False
50.0,36000.0,Rent,0.0,Venture,B,5000.0,10.37,0.14,N,16.0,False
37.0,63000.0,Rent,1.0,Education,A,14900.0,9.63,0.24,N,17.0,False
36.0,62200.0,Rent,3.0,Homeimprovement,B,11200.0,10.59,0.18,N,16.0,False
36.0,48000.0,Mortgage,6.0,Venture,A,1500.0,8.9,0.03,N,16.0,False
38.0,18720.0,Own,22.0,Venture,B,2500.0,11.86,0.13,N,16.0,False
36.0,126251.0,Rent,16.0,Homeimprovement,A,14000.0,7.66,0.11,N,17.0,False
49.0,28800.0,Mortgage,5.0,Medical,A,12000.0,10.778000000000002,0.42,N,16.0,False
39.0,101000.0,Mortgage,17.0,Education,C,2500.0,13.47,0.02,Y,17.0,False
39.0,31200.0,Rent,2.0,Education,B,6400.0,11.49,0.21,N,16.0,False
41.0,102000.0,Mortgage,20.0,Venture,B,7500.0,11.49,0.07,N,17.0,False
65.0,46000.0,Rent,5.0,Venture,E,10500.0,16.32,0.23,Y,24.0,False
65.0,133000.0,Mortgage,2.0,Debtconsolidation,E,18000.0,11.776,0.14,N,25.0,True
56.0,19200.0,Rent,0.0,Venture,B,6025.0,11.71,0.31,N,19.0,True
37.0,146000.0,Mortgage,5.0,Debtconsolidation,C,10000.0,13.99,0.07,Y,16.0,False
69.0,37000.0,Rent,6.0,Medical,D,10750.0,14.59,0.29,Y,27.0,False
40.0,28000.0,Own,18.0,Venture,B,1600.0,9.99,0.06,N,17.0,False
40.0,35000.0,Mortgage,3.0,Education,B,4000.0,10.37,0.11,N,17.0,False
36.0,49896.0,Mortgage,8.0,Venture,A,2800.0,10.741999999999999,0.06,N,17.0,False
41.0,88000.0,Mortgage,5.0,Homeimprovement,A,4000.0,7.14,0.05,N,17.0,False
57.0,45600.0,Rent,21.0,Venture,B,3000.0,9.91,0.07,N,20.0,False
51.0,80000.0,Rent,3.0,Venture,F,18000.0,18.78,0.23,N,19.0,False
41.0,60000.0,Rent,6.0,Personal,A,5000.0,5.42,0.08,N,17.0,False
39.0,58000.0,Rent,5.0,Education,B,21000.0,10.83,0.36,N,16.0,True
37.0,78000.0,Rent,0.0,Venture,A,3900.0,10.176,0.05,N,16.0,False
40.0,116000.0,Mortgage,3.0,Venture,C,12000.0,9.78,0.1,N,16.0,False
38.0,37500.0,Other,0.0,Education,C,12000.0,13.47,0.32,Y,16.0,True
43.0,45000.0,Own,4.0,Medical,B,2000.0,11.49,0.04,N,17.0,False
37.0,49000.0,Mortgage,3.0,Medical,D,4000.0,15.65,0.08,N,17.0,True
60.0,49008.0,Own,5.0,Personal,C,12000.0,13.79,0.24,Y,30.0,False
38.0,36000.0,Mortgage,3.0,Debtconsolidation,C,6000.0,13.99,0.17,N,16.0,False
43.0,32000.0,Rent,0.0,Venture,A,6400.0,7.49,0.2,N,16.0,False
39.0,48000.0,Mortgage,4.0,Medical,A,3000.0,5.42,0.06,N,16.0,False
69.0,80000.0,Rent,12.0,Medical,C,4800.0,14.79,0.06,Y,22.0,False
42.0,32400.0,Rent,1.0,Debtconsolidation,D,8875.0,16.29,0.27,N,16.0,True
52.0,35000.0,Rent,0.0,Personal,B,6000.0,8.614,0.17,N,22.0,False
46.0,51600.0,Mortgage,16.0,Personal,A,10000.0,7.51,0.19,N,17.0,False
36.0,40000.0,Own,4.0,Venture,B,14000.0,10.99,0.35,N,16.0,False
52.0,100000.0,Own,4.0,Personal,B,10000.0,9.88,0.1,N,25.0,False
54.0,77000.0,Rent,24.0,Venture,C,24000.0,13.49,0.31,N,21.0,True
43.0,50000.0,Mortgage,2.0,Debtconsolidation,B,5000.0,9.63,0.1,N,16.0,False
41.0,95000.0,Rent,3.0,Venture,D,10000.0,16.49,0.11,N,16.0,False
50.0,76500.0,Rent,1.0,Personal,B,20000.0,11.99,0.26,N,17.0,False
39.0,30000.0,Rent,6.0,Debtconsolidation,D,9000.0,16.89,0.3,N,16.0,True
66.0,82000.0,Mortgage,8.0,Personal,A,28000.0,7.9,0.34,N,20.0,False
50.0,50000.0,Rent,7.0,Homeimprovement,C,7500.0,10.816,0.15,Y,16.0,False
53.0,40000.0,Rent,6.0,Venture,C,4000.0,12.99,0.1,Y,22.0,False
60.0,98000.0,Rent,1.0,Debtconsolidation,D,15000.0,16.29,0.15,Y,25.0,True
47.0,90000.0,Rent,1.0,Venture,D,25000.0,15.65,0.28,Y,17.0,True
43.0,83000.0,Mortgage,13.0,Homeimprovement,B,3000.0,9.91,0.04,N,17.0,False
52.0,30000.0,Rent,6.0,Venture,C,5000.0,12.73,0.17,N,18.0,False
47.0,18000.0,Rent,0.0,Homeimprovement,D,1000.0,14.84,0.06,Y,16.0,True
37.0,39960.0,Own,21.0,Personal,A,5600.0,6.54,0.14,N,16.0,False
42.0,80000.0,Mortgage,8.0,Personal,B,5000.0,11.99,0.06,N,17.0,False
38.0,117960.0,Mortgage,0.0,Medical,A,12000.0,10.714000000000002,0.1,N,17.0,False
41.0,110496.0,Rent,3.0,Homeimprovement,A,20000.0,6.91,0.18,N,16.0,False
37.0,44700.0,Rent,0.0,Debtconsolidation,A,9000.0,8.59,0.2,N,16.0,False
38.0,72000.0,Mortgage,10.0,Education,C,15000.0,13.49,0.21,N,17.0,False
39.0,57000.0,Mortgage,16.0,Education,B,6300.0,10.99,0.11,N,17.0,False
36.0,78000.0,Mortgage,7.0,Personal,A,15000.0,7.88,0.19,N,16.0,False
47.0,53808.0,Mortgage,4.0,Venture,B,15000.0,11.71,0.28,N,17.0,False
56.0,71884.0,Own,11.0,Personal,B,7425.0,9.99,0.1,N,22.0,False
55.0,50000.0,Rent,2.0,Homeimprovement,A,20000.0,7.51,0.4,N,30.0,True
57.0,53000.0,Mortgage,1.0,Personal,C,5800.0,13.16,0.11,Y,30.0,False
58.0,39996.0,Rent,2.0,Venture,B,2500.0,10.37,0.06,N,27.0,False
51.0,58000.0,Rent,2.0,Medical,E,1500.0,19.03,0.03,Y,22.0,True
39.0,40000.0,Rent,2.0,Education,A,5200.0,6.62,0.13,N,17.0,False
43.0,141000.0,Mortgage,9.0,Venture,C,15000.0,12.53,0.11,N,16.0,False
40.0,30000.0,Rent,2.0,Venture,B,10625.0,9.806000000000001,0.35,N,17.0,True
58.0,20000.0,Rent,0.0,Education,B,4000.0,9.99,0.2,N,30.0,False
41.0,26400.0,Mortgage,4.0,Debtconsolidation,B,6000.0,12.21,0.23,N,16.0,True
49.0,88000.0,Rent,11.0,Venture,A,12000.0,6.62,0.14,N,17.0,False
37.0,43200.0,Rent,5.0,Venture,B,18000.0,8.88,0.42,N,16.0,True
37.0,22000.0,Rent,2.0,Medical,B,4000.0,10.0,0.18,N,17.0,False
40.0,65000.0,Rent,1.0,Debtconsolidation,B,5000.0,9.63,0.08,N,16.0,False
38.0,95000.0,Own,6.0,Venture,E,14000.0,17.74,0.15,Y,17.0,False
58.0,43500.0,Rent,4.0,Education,D,1800.0,14.96,0.04,Y,21.0,False
43.0,70000.0,Rent,23.0,Venture,A,11000.0,7.29,0.16,N,16.0,False
37.0,17520.0,Rent,1.0,Venture,A,3000.0,8.129999999999999,0.17,N,16.0,True
61.0,85000.0,Mortgage,11.0,Personal,B,9000.0,9.99,0.11,N,22.0,False
39.0,73000.0,Mortgage,2.0,Education,B,5000.0,11.86,0.07,N,16.0,True
47.0,93000.0,Rent,1.0,Personal,B,10000.0,10.508000000000001,0.11,N,16.0,False
46.0,91000.0,Rent,0.0,Homeimprovement,E,22000.0,18.79,0.24,N,16.0,True
37.0,181000.0,Mortgage,11.0,Debtconsolidation,C,20000.0,13.85,0.11,Y,17.0,False
58.0,33600.0,Rent,6.0,Education,C,1500.0,14.79,0.04,N,28.0,False
48.0,55000.0,Rent,9.0,Medical,C,10200.0,13.92,0.19,N,16.0,False
41.0,33240.0,Own,4.0,Medical,A,1000.0,7.29,0.03,N,17.0,False
45.0,68000.0,Rent,13.0,Personal,C,11200.0,9.668000000000001,0.16,N,17.0,False
60.0,29000.0,Rent,0.0,Homeimprovement,D,2500.0,15.33,0.09,Y,27.0,True
58.0,68000.0,Mortgage,1.0,Personal,B,8000.0,10.99,0.12,N,29.0,False
40.0,24000.0,Rent,3.0,Venture,C,2700.0,14.27,0.11,Y,17.0,False
40.0,84000.0,Mortgage,4.0,Homeimprovement,C,17925.0,14.26,0.21,N,16.0,False
36.0,14400.0,Own,7.0,Debtconsolidation,A,7000.0,5.42,0.49,N,16.0,True
40.0,98004.0,Rent,4.0,Debtconsolidation,F,25000.0,19.04,0.26,Y,16.0,True
41.0,56000.0,Rent,3.0,Homeimprovement,A,9000.0,5.99,0.16,N,16.0,False
37.0,24000.0,Rent,5.0,Medical,B,6000.0,11.49,0.25,N,17.0,False
40.0,54000.0,Rent,7.0,Personal,B,12000.0,10.62,0.22,N,17.0,False
44.0,94800.0,Mortgage,4.0,Venture,A,7400.0,7.88,0.08,N,16.0,False
37.0,20800.0,Rent,3.0,Venture,F,4000.0,19.41,0.19,N,16.0,False
40.0,49788.0,Rent,1.0,Debtconsolidation,A,1500.0,9.32,0.03,N,16.0,False
40.0,42996.0,Own,15.0,Medical,D,15000.0,16.0,0.35,Y,16.0,False
36.0,72000.0,Rent,12.0,Debtconsolidation,C,2800.0,11.110000000000001,0.04,Y,16.0,False
60.0,49008.0,Own,5.0,Personal,C,12000.0,13.79,0.24,Y,21.0,False
36.0,53000.0,Rent,1.0,Education,A,3500.0,9.32,0.07,N,17.0,False
42.0,42000.0,Rent,2.0,Personal,C,4200.0,13.35,0.1,N,17.0,False
49.0,115000.0,Rent,16.0,Personal,B,10000.0,10.37,0.09,N,17.0,False
39.0,92000.0,Mortgage,1.0,Personal,C,20000.0,14.79,0.22,N,16.0,False
38.0,29000.0,Rent,2.0,Debtconsolidation,D,10000.0,13.644,0.34,N,16.0,True
51.0,37200.0,Rent,4.0,Medical,B,3000.0,10.62,0.08,N,30.0,True
60.0,98000.0,Rent,1.0,Homeimprovement,D,15000.0,16.29,0.15,N,29.0,True
42.0,40000.0,Rent,6.0,Debtconsolidation,B,1950.0,11.86,0.05,N,17.0,False
51.0,45000.0,Rent,1.0,Debtconsolidation,A,16000.0,7.9,0.36,N,19.0,True
43.0,77000.0,Mortgage,3.0,Education,A,12000.0,5.99,0.16,N,16.0,False
41.0,50780.0,Mortgage,14.0,Personal,B,6000.0,10.99,0.12,N,17.0,False
43.0,68400.0,Mortgage,9.0,Venture,C,9600.0,13.49,0.14,N,16.0,True
38.0,225000.0,Rent,16.0,Education,D,15000.0,15.62,0.07,N,17.0,False
37.0,74568.0,Rent,0.0,Venture,C,6000.0,14.26,0.08,N,17.0,False
51.0,68000.0,Rent,5.0,Personal,D,12000.0,16.77,0.18,N,28.0,False
43.0,25000.0,Rent,6.0,Medical,B,8000.0,11.99,0.32,N,17.0,True
36.0,69000.0,Rent,0.0,Medical,B,15600.0,10.99,0.23,N,16.0,False
46.0,60000.0,Mortgage,1.0,Education,C,5000.0,11.72,0.08,N,16.0,False
38.0,42000.0,Rent,0.0,Personal,B,4600.0,10.796000000000001,0.11,N,17.0,False
47.0,75000.0,Rent,3.0,Homeimprovement,C,15000.0,13.48,0.2,Y,17.0,False
43.0,50000.0,Rent,0.0,Personal,B,4500.0,10.74,0.09,N,16.0,False
38.0,44000.0,Mortgage,3.0,Personal,B,10000.0,9.63,0.23,N,17.0,False
42.0,70000.0,Mortgage,3.0,Medical,B,2825.0,9.64,0.04,N,17.0,False
40.0,42996.0,Own,15.0,Education,D,15000.0,16.0,0.35,Y,17.0,False
42.0,68000.0,Mortgage,2.0,Venture,A,5000.0,7.51,0.07,N,17.0,False
54.0,50000.0,Rent,14.0,Debtconsolidation,A,20000.0,7.9,0.4,N,20.0,True
53.0,34000.0,Mortgage,0.0,Medical,B,10000.0,10.39,0.29,N,30.0,True
36.0,81000.0,Mortgage,9.0,Homeimprovement,C,6000.0,12.99,0.07,N,17.0,False
42.0,26280.0,Rent,2.0,Debtconsolidation,B,4000.0,9.99,0.15,N,17.0,False
37.0,59448.0,Rent,6.0,Debtconsolidation,A,12000.0,6.54,0.2,N,16.0,False
55.0,50000.0,Rent,2.0,Debtconsolidation,A,20000.0,7.51,0.4,N,28.0,True
52.0,65004.0,Rent,4.0,Personal,D,20000.0,15.58,0.31,Y,19.0,True
53.0,70000.0,Rent,6.0,Personal,D,24000.0,16.77,0.34,N,20.0,True
58.0,100000.0,Rent,6.0,Education,A,12000.0,8.9,0.12,N,30.0,False
39.0,54000.0,Mortgage,0.0,Personal,B,6000.0,11.83,0.11,N,16.0,True
48.0,54000.0,Mortgage,1.0,Homeimprovement,A,2000.0,5.99,0.04,N,16.0,False
38.0,48384.0,Rent,4.0,Medical,D,19000.0,14.96,0.39,Y,16.0,True
64.0,119000.0,Mortgage,3.0,Personal,A,5000.0,8.0,0.04,N,22.0,False
36.0,33600.0,Rent,3.0,Education,B,12000.0,11.36,0.36,N,16.0,True
38.0,107004.0,Mortgage,11.0,Venture,B,15000.0,10.0,0.14,N,16.0,False
43.0,42000.0,Mortgage,0.0,Medical,A,7775.0,5.99,0.19,N,16.0,False
60.0,45600.0,Rent,1.0,Personal,B,20000.0,10.0,0.44,N,20.0,True
42.0,97000.0,Mortgage,13.0,Personal,C,1500.0,15.96,0.02,Y,16.0,False
51.0,60000.0,Rent,6.0,Debtconsolidation,A,8500.0,5.79,0.14,N,18.0,False
56.0,90000.0,Mortgage,0.0,Personal,A,7200.0,6.17,0.08,N,19.0,False
38.0,50400.0,Rent,5.0,Debtconsolidation,B,10100.0,11.49,0.2,N,16.0,False
62.0,51600.0,Rent,2.0,Personal,A,8525.0,6.54,0.17,N,24.0,False
37.0,21600.0,Rent,7.0,Medical,B,3000.0,12.18,0.14,N,16.0,False
40.0,114000.0,Mortgage,11.0,Medical,A,6000.0,5.42,0.05,N,17.0,False
39.0,100000.0,Mortgage,0.0,Venture,D,6000.0,14.11,0.06,N,16.0,False
51.0,45000.0,Rent,2.0,Medical,C,8400.0,13.11,0.19,Y,18.0,False
41.0,28000.0,Own,9.0,Education,A,2000.0,7.74,0.07,N,16.0,False
40.0,85000.0,Mortgage,4.0,Homeimprovement,C,5000.0,14.27,0.06,N,16.0,False
50.0,69000.0,Rent,8.0,Debtconsolidation,D,15000.0,11.347999999999999,0.22,N,17.0,True
52.0,69996.0,Own,3.0,Personal,B,12000.0,11.11,0.17,N,22.0,False
36.0,98240.0,Mortgage,4.0,Personal,E,20000.0,16.35,0.2,N,16.0,False
43.0,47000.0,Own,2.0,Venture,A,10000.0,7.88,0.21,N,16.0,False
37.0,25000.0,Rent,6.0,Medical,B,7500.0,10.99,0.3,N,17.0,False
37.0,130000.0,Rent,2.0,Personal,B,13000.0,9.88,0.1,N,16.0,False
45.0,54000.0,Rent,1.0,Debtconsolidation,B,19425.0,11.99,0.36,N,17.0,True
48.0,94050.0,Mortgage,1.0,Debtconsolidation,D,23000.0,14.96,0.24,Y,16.0,True
39.0,64000.0,Rent,9.0,Debtconsolidation,C,4800.0,12.73,0.07,N,16.0,False
55.0,125000.0,Mortgage,9.0,Personal,B,8400.0,9.63,0.07,N,18.0,False
48.0,19200.0,Own,1.0,Medical,C,7000.0,12.786000000000001,0.36,N,16.0,True
45.0,31200.0,Rent,11.0,Personal,D,4000.0,14.96,0.13,Y,17.0,False
43.0,75000.0,Rent,0.0,Homeimprovement,A,12000.0,7.9,0.16,N,16.0,False
37.0,40000.0,Rent,1.0,Venture,C,21250.0,12.99,0.53,N,16.0,True
