Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status,is_eligible,age_employment_ratio,income_per_credit_year,credit_score,high_risk_flag,age_group
30000.0,Rent,4.0,Medical,A,8000.0,12.22,0.27,N,8.0,False,True,0.1428571428571428,3750.0,521.4484895956492,0,26-35
56532.0,Mortgage,4.0,Education,A,16000.0,7.88,0.28,N,3.0,False,True,0.1904761904761904,18844.0,678.6609711780446,0,18-25
125000.0,Mortgage,3.0,Personal,A,10200.0,7.49,0.08,N,13.0,False,True,0.075,9615.384615384615,828.8136558500954,0,36-45
30000.0,Mortgage,2.0,Debtconsolidation,B,1600.0,10.25,0.05,N,9.0,False,True,0.0689655172413793,3333.333333333333,657.259190456799,0,26-35
150000.0,Mortgage,9.0,Debtconsolidation,A,12000.0,9.912,0.08,N,4.0,False,True,0.36,37500.0,799.1067176630474,0,18-25
36000.0,Own,1.0,Venture,B,3925.0,9.99,0.11,N,5.0,False,True,0.0285714285714285,7200.0,758.9274526889193,0,26-35
69000.0,Rent,2.0,Homeimprovement,A,27600.0,12.878,0.4,N,2.0,True,True,0.0833333333333333,34500.0,551.4931200955804,0,18-25
52000.0,Own,8.0,Personal,A,5000.0,7.4,0.1,N,2.0,False,True,0.3333333333333333,26000.0,842.0708110542503,0,18-25
36000.0,Rent,8.0,Medical,C,13000.0,12.73,0.36,Y,16.0,True,True,0.1904761904761904,2250.0,446.33387116817664,0,36-45
24000.0,Rent,0.0,Venture,A,9250.0,6.54,0.39,N,3.0,True,True,0.0,8000.0,549.3934400496512,0,18-25
52000.0,Own,7.0,Education,A,6000.0,10.82,0.12,N,3.0,False,True,0.3043478260869565,17333.333333333332,852.0883339646214,0,18-25
102000.0,Rent,2.0,Homeimprovement,A,10150.0,8.264000000000001,0.1,N,6.0,False,True,0.074074074074074,17000.0,713.0433681572488,0,26-35
100000.0,Mortgage,0.0,Personal,A,6575.0,5.79,0.07,N,6.0,False,True,0.0,16666.666666666668,831.7678973754826,0,26-35
20640.0,Rent,0.0,Education,C,2500.0,12.68,0.12,N,3.0,False,True,0.0,6880.0,578.2595830189783,0,18-25
66661.0,Mortgage,7.0,Personal,B,1500.0,11.49,0.02,N,2.0,False,True,0.3043478260869565,33330.5,756.477890835381,0,18-25
73882.0,Rent,17.0,Medical,B,7000.0,9.91,0.09,N,13.0,False,True,0.4358974358974359,5683.2307692307695,669.7890929742014,0,36-45
72000.0,Rent,15.0,Education,B,4000.0,9.99,0.06,N,5.0,False,True,0.4838709677419355,14400.0,737.9752595378264,0,26-35
19200.0,Rent,0.0,Homeimprovement,B,5000.0,9.62,0.26,N,2.0,True,True,0.0,9600.0,453.7157232223006,0,18-25
50000.0,Rent,5.0,Medical,C,8000.0,13.43,0.16,N,10.0,False,True,0.1851851851851851,5000.0,581.9842260827595,0,26-35
172000.0,Mortgage,6.0,Debtconsolidation,C,20000.0,13.47,0.12,Y,4.0,True,True,0.25,43000.0,717.4312905949631,0,18-25
70000.0,Mortgage,9.0,Medical,A,18000.0,8.9,0.26,N,10.0,False,True,0.2903225806451613,7000.0,654.3455157856613,0,26-35
55000.0,Rent,0.0,Personal,B,5500.0,11.71,0.1,N,4.0,False,True,0.0,13750.0,666.4302942207268,0,18-25
53000.0,Own,3.0,Venture,B,6000.0,9.99,0.11,N,2.0,False,True,0.1153846153846153,26500.0,828.058162959605,0,26-35
33996.0,Rent,2.0,Homeimprovement,D,5000.0,14.96,0.15,N,2.0,True,True,0.0833333333333333,16998.0,406.37674642599575,0,18-25
130000.0,Mortgage,3.0,Debtconsolidation,C,14500.0,12.538,0.11,N,2.0,False,True,0.1363636363636363,65000.0,696.1012579165133,0,18-25
58800.0,Mortgage,12.0,Debtconsolidation,E,22000.0,17.74,0.37,N,15.0,True,True,0.24,3920.0,385.10795939810447,0,46-60
21600.0,Rent,0.0,Debtconsolidation,C,3000.0,14.35,0.14,N,9.0,False,True,0.0,2400.0,554.7332599610186,0,26-35
30000.0,Rent,0.0,Education,D,9000.0,15.58,0.3,N,3.0,True,True,0.0,10000.0,346.98489330366635,0,18-25
70000.0,Rent,4.0,Personal,A,2000.0,7.66,0.03,N,2.0,False,True,0.1739130434782608,35000.0,755.0966885287679,0,18-25
85000.0,Mortgage,8.0,Education,B,20000.0,11.11,0.24,N,4.0,False,True,0.3333333333333333,21250.0,690.7836250868577,0,18-25
57000.0,Mortgage,0.0,Medical,B,2400.0,12.69,0.04,N,4.0,False,True,0.0,14250.0,711.5542527474065,0,18-25
45996.0,Own,5.0,Homeimprovement,A,9225.0,10.47,0.2,N,2.0,False,True,0.1923076923076923,22998.0,783.4570263993246,0,26-35
200000.0,Rent,8.0,Venture,B,12000.0,12.69,0.06,N,2.0,False,True,0.3333333333333333,100000.0,736.1720381575988,0,18-25
55500.0,Rent,3.0,Medical,C,10000.0,11.206,0.18,Y,4.0,False,True,0.1153846153846153,13875.0,587.6060402779532,0,26-35
55600.0,Rent,2.0,Personal,A,6000.0,8.326,0.11,N,3.0,False,True,0.0952380952380952,18533.33333333333,710.4448602610228,0,18-25
50000.0,Rent,3.0,Personal,D,12000.0,16.77,0.24,N,3.0,False,True,0.12,16666.666666666668,357.95803141203965,0,18-25
30000.0,Rent,5.0,Medical,G,2000.0,21.27,0.07,Y,3.0,True,True,0.2083333333333333,10000.0,300.0,0,18-25
95000.0,Mortgage,5.0,Venture,B,18000.0,11.71,0.19,N,9.0,False,True,0.1612903225806451,10555.555555555557,782.0166082817886,0,26-35
125004.0,Rent,12.0,Personal,A,6000.0,7.51,0.05,N,10.0,False,True,0.4285714285714285,12500.4,775.5570966711654,0,26-35
38400.0,Rent,5.0,Education,B,4000.0,10.59,0.1,N,3.0,False,True,0.2272727272727272,12800.0,628.8872525066361,0,18-25
58000.0,Rent,0.0,Personal,A,3500.0,8.59,0.06,N,3.0,False,True,0.0,19333.33333333333,730.6280310529734,0,26-35
85000.0,Mortgage,1.0,Debtconsolidation,A,12000.0,7.88,0.14,N,3.0,False,True,0.0416666666666666,28333.33333333333,760.1946877037059,0,18-25
154000.0,Mortgage,4.0,Personal,B,4000.0,10.37,0.03,N,8.0,False,True,0.1176470588235294,19250.0,819.1120983356209,0,26-35
53000.0,Rent,4.0,Debtconsolidation,D,5000.0,15.95,0.09,Y,2.0,True,True,0.1538461538461538,26500.0,481.9802510328859,0,26-35
100000.0,Mortgage,9.0,Education,B,8000.0,10.25,0.08,N,3.0,False,True,0.36,33333.333333333336,808.6845436976955,0,18-25
130000.0,Own,7.0,Venture,C,15000.0,13.22,0.12,Y,3.0,False,True,0.3043478260869565,43333.333333333336,812.8290391583444,0,18-25
125000.0,Mortgage,2.0,Debtconsolidation,A,20000.0,7.88,0.16,N,7.0,False,True,0.0606060606060606,17857.14285714286,765.0124650341053,0,26-35
40000.0,Rent,1.0,Homeimprovement,C,10000.0,13.16,0.25,N,7.0,True,True,0.0344827586206896,5714.285714285715,447.08294936405997,0,26-35
35004.0,Rent,4.0,Medical,C,5000.0,14.72,0.14,Y,3.0,False,True,0.1739130434782608,11668.0,551.9743408222182,0,18-25
122000.0,Mortgage,4.0,Debtconsolidation,C,4800.0,7.826,0.04,Y,2.0,False,True,0.1538461538461538,61000.0,722.3770736132002,0,26-35
57000.0,Mortgage,6.0,Medical,C,9000.0,12.99,0.16,Y,4.0,False,True,0.2307692307692307,14250.0,666.5588629407466,0,26-35
30000.0,Rent,3.0,Medical,B,5000.0,9.88,0.17,N,8.0,False,True,0.1071428571428571,3750.0,557.0301186531067,0,26-35
138000.0,Rent,2.0,Personal,A,14000.0,7.9,0.1,N,8.0,True,True,0.0571428571428571,17250.0,764.9794386810061,0,26-35
78262.0,Rent,4.0,Homeimprovement,B,11525.0,14.772,0.15,N,8.0,False,True,0.1481481481481481,9782.75,663.989896110121,0,26-35
134748.0,Mortgage,4.0,Homeimprovement,B,25000.0,10.75,0.19,N,3.0,False,True,0.16,44916.0,693.4783939539057,0,18-25
55000.0,Rent,2.0,Homeimprovement,D,8000.0,14.61,0.15,N,2.0,True,True,0.0833333333333333,27500.0,470.0268125061417,0,18-25
50000.0,Mortgage,5.0,Homeimprovement,C,6000.0,13.49,0.12,N,6.0,False,True,0.1428571428571428,8333.333333333334,676.9109631225572,0,26-35
50400.0,Rent,4.0,Education,D,7000.0,11.86,0.14,N,11.0,False,True,0.1025641025641025,4581.818181818182,512.1835287973726,0,36-45
63000.0,Mortgage,5.0,Debtconsolidation,B,11200.0,10.99,0.18,N,4.0,False,True,0.238095238095238,15750.0,656.6594587233685,0,18-25
54000.0,Mortgage,8.0,Homeimprovement,G,24000.0,18.72,0.44,N,8.0,True,True,0.2666666666666666,6750.0,300.0,1,26-35
156000.0,Rent,4.0,Education,A,28000.0,10.39,0.18,N,5.0,False,True,0.1176470588235294,31200.0,747.7626054369043,0,26-35
55000.0,Rent,2.0,Debtconsolidation,A,4500.0,7.9,0.08,N,2.0,False,True,0.0833333333333333,27500.0,677.8082265035123,0,18-25
70000.0,Mortgage,13.0,Homeimprovement,A,5000.0,6.99,0.07,N,7.0,False,True,0.4642857142857143,10000.0,811.0840600784131,0,26-35
69654.0,Mortgage,10.0,Medical,C,7500.0,7.664,0.11,Y,3.0,False,True,0.3846153846153846,23218.0,732.8769784223483,0,26-35
128000.0,Mortgage,12.0,Homeimprovement,C,20000.0,13.11,0.16,Y,15.0,True,True,0.3076923076923077,8533.333333333334,689.3820305617298,0,36-45
17112.0,Rent,4.0,Debtconsolidation,A,1200.0,7.66,0.07,N,14.0,False,True,0.0909090909090909,1222.2857142857142,629.994833113738,0,36-45
94000.0,Mortgage,1.0,Debtconsolidation,A,5000.0,7.68,0.05,N,3.0,False,True,0.0384615384615384,31333.33333333333,790.669168181328,0,26-35
66000.0,Mortgage,10.0,Debtconsolidation,B,7000.0,9.91,0.11,N,6.0,False,True,0.3448275862068966,11000.0,719.334607649079,0,26-35
56000.0,Rent,15.0,Homeimprovement,C,3000.0,14.27,0.05,Y,5.0,False,True,0.4838709677419355,11200.0,632.3315552505494,0,26-35
85000.0,Mortgage,5.0,Education,C,9600.0,13.85,0.11,N,2.0,False,True,0.2,42500.0,778.8157024932245,0,18-25
30000.0,Rent,5.0,Personal,C,8000.0,12.87,0.27,N,4.0,False,True,0.2,7500.0,480.5278173724931,0,18-25
41000.0,Mortgage,7.0,Medical,C,6000.0,13.22,0.15,Y,16.0,False,True,0.1627906976744186,2562.5,644.0214747644688,0,36-45
91000.0,Mortgage,6.0,Personal,B,15000.0,9.88,0.16,N,9.0,False,True,0.2142857142857142,10111.111111111111,751.0689279803648,0,26-35
35000.0,Rent,2.0,Personal,B,5500.0,11.49,0.16,N,7.0,False,True,0.0625,5000.0,590.793681167153,0,26-35
92500.0,Mortgage,5.0,Education,A,2500.0,11.146,0.03,N,2.0,False,True,0.217391304347826,46250.0,852.7602093712408,0,18-25
36000.0,Mortgage,4.0,Medical,A,4000.0,6.91,0.11,N,8.0,False,True,0.1428571428571428,4500.0,706.8544707916772,0,26-35
180000.0,Mortgage,12.0,Personal,A,10000.0,7.9,0.06,N,10.0,False,True,0.375,18000.0,874.3480589621624,0,26-35
35000.0,Mortgage,1.0,Personal,A,3600.0,8.0,0.1,N,9.0,False,True,0.0344827586206896,3888.8888888888887,740.6180333057235,0,26-35
83957.0,Mortgage,4.0,Medical,A,3000.0,8.94,0.04,N,3.0,False,True,0.1538461538461538,27985.666666666668,800.7820841586497,0,26-35
62400.0,Mortgage,0.0,Personal,A,2400.0,7.49,0.04,N,14.0,False,True,0.0,4457.142857142857,783.4462960560797,0,36-45
72000.0,Mortgage,9.0,Debtconsolidation,B,15000.0,11.86,0.21,N,15.0,False,True,0.2307692307692307,4800.0,684.4268377395929,0,36-45
52800.0,Rent,3.0,Personal,D,7000.0,17.58,0.13,N,3.0,False,True,0.1363636363636363,17600.0,512.4147141650383,0,18-25
155142.0,Mortgage,6.0,Personal,D,23000.0,18.25,0.15,N,2.0,False,True,0.2307692307692307,77571.0,610.4348713298624,0,26-35
40800.0,Rent,2.0,Debtconsolidation,C,3500.0,11.97,0.09,Y,9.0,False,True,0.0689655172413793,4533.333333333333,558.013361953132,0,26-35
116000.0,Mortgage,10.0,Medical,B,25000.0,12.18,0.22,N,10.0,False,True,0.3571428571428571,11600.0,715.1539082608442,0,26-35
145000.0,Mortgage,0.0,Venture,B,25000.0,10.08,0.17,N,8.0,False,True,0.0,18125.0,794.5232639958388,0,26-35
68000.0,Rent,1.0,Education,C,5000.0,13.49,0.07,Y,11.0,False,True,0.0256410256410256,6181.818181818182,656.2063668312562,0,36-45
97000.0,Mortgage,0.0,Venture,A,12000.0,6.91,0.12,N,7.0,False,True,0.0,13857.142857142857,846.8889600157916,0,26-35
40800.0,Rent,4.0,Debtconsolidation,D,1000.0,15.57,0.02,N,2.0,True,True,0.16,20400.0,433.96757260965416,0,18-25
56000.0,Rent,8.0,Personal,C,5000.0,14.27,0.09,N,4.0,False,True,0.3333333333333333,14000.0,662.0715143611983,0,18-25
76248.0,Mortgage,17.0,Education,A,10400.0,7.66,0.14,N,5.0,False,True,0.5151515151515151,15249.6,835.9677135253455,0,26-35
60000.0,Mortgage,5.0,Personal,A,10425.0,8.49,0.17,N,4.0,False,True,0.2,15000.0,750.6947517788035,0,18-25
82000.0,Mortgage,11.0,Venture,A,10000.0,7.51,0.12,N,6.0,False,True,0.4074074074074074,13666.666666666666,869.1794933166625,0,26-35
20000.0,Own,3.0,Personal,B,5000.0,11.83,0.25,N,7.0,False,True,0.0967741935483871,2857.1428571428573,624.5454217164796,0,26-35
99996.0,Mortgage,14.0,Personal,B,6000.0,11.11,0.06,N,7.0,False,True,0.4242424242424242,14285.142857142857,804.4539854160965,0,26-35
28800.0,Own,7.0,Medical,A,12250.0,7.51,0.43,N,4.0,False,True,0.3043478260869565,7200.0,602.9019552138383,0,18-25
42000.0,Mortgage,3.0,Homeimprovement,D,10000.0,14.84,0.24,Y,13.0,False,True,0.06,3230.769230769231,383.22109529324234,0,46-60
130000.0,Rent,0.0,Education,B,4000.0,10.99,0.03,N,3.0,False,True,0.0,43333.333333333336,729.7904038941613,0,26-35
80004.0,Mortgage,2.0,Venture,B,19000.0,10.62,0.24,N,2.0,False,True,0.0869565217391304,40002.0,675.5296765734751,0,18-25
54996.0,Rent,5.0,Personal,A,5000.0,8.0,0.09,N,9.0,False,True,0.1612903225806451,6110.666666666667,722.0498843969526,0,26-35
58200.0,Mortgage,8.0,Personal,B,4500.0,11.12,0.08,N,7.0,False,True,0.2857142857142857,8314.285714285714,752.4999324265639,0,26-35
80000.0,Mortgage,5.0,Medical,B,22000.0,10.59,0.28,N,10.0,False,True,0.1724137931034483,8000.0,607.4789966699225,0,26-35
27600.0,Own,2.0,Venture,B,2500.0,11.71,0.09,N,3.0,False,True,0.0769230769230769,9200.0,767.866782035186,0,26-35
44000.0,Rent,10.0,Personal,C,8000.0,13.8,0.18,N,3.0,False,True,0.3846153846153846,14666.666666666666,578.0077029484728,0,26-35
14400.0,Own,2.0,Debtconsolidation,B,5550.0,10.37,0.39,N,8.0,True,True,0.0571428571428571,1800.0,576.9643267349569,0,26-35
51319.0,Mortgage,2.0,Venture,B,20000.0,10.37,0.39,N,3.0,False,True,0.0869565217391304,17106.333333333332,645.822309529742,0,18-25
39672.0,Mortgage,10.0,Personal,D,11500.0,15.7,0.29,N,4.0,False,True,0.3846153846153846,9918.0,429.7709003771223,0,26-35
50000.0,Mortgage,6.0,Venture,C,10000.0,10.536,0.2,Y,3.0,False,True,0.2727272727272727,16666.666666666668,704.3421506338544,0,18-25
50952.0,Rent,0.0,Education,C,4000.0,11.54,0.08,Y,4.0,False,True,0.0,12738.0,661.9940753950648,0,18-25
30000.0,Mortgage,17.0,Homeimprovement,A,10000.0,5.79,0.33,N,6.0,False,True,0.5151515151515151,5000.0,594.3493123998612,0,26-35
80000.0,Rent,2.0,Debtconsolidation,C,28000.0,12.68,0.35,Y,10.0,True,True,0.0689655172413793,8000.0,493.63401033189905,0,26-35
60000.0,Rent,0.0,Venture,B,8000.0,11.14,0.13,N,3.0,False,True,0.0,20000.0,702.8203361641231,0,18-25
79500.0,Mortgage,1.0,Education,B,6000.0,11.36,0.08,N,2.0,False,True,0.0384615384615384,39750.0,804.000652470151,0,26-35
42000.0,Mortgage,8.0,Homeimprovement,D,2500.0,15.28,0.06,N,2.0,False,True,0.3333333333333333,21000.0,521.9613091313735,0,18-25
39996.0,Rent,0.0,Personal,B,7500.0,11.86,0.19,N,3.0,False,True,0.0,13332.0,579.2541522234103,0,18-25
49500.0,Rent,6.0,Personal,C,6000.0,11.22,0.12,N,8.0,False,True,0.2222222222222222,6187.5,641.024494431706,0,26-35
60000.0,Rent,1.0,Venture,B,8000.0,12.21,0.13,N,4.0,False,True,0.0434782608695652,15000.0,698.7102806945301,0,18-25
130000.0,Mortgage,0.0,Debtconsolidation,A,24250.0,6.17,0.19,N,16.0,False,True,0.0,8125.0,717.4452864573932,0,36-45
70000.0,Rent,6.0,Education,A,7000.0,7.74,0.1,N,6.0,False,True,0.2068965517241379,11666.666666666666,777.2367707830821,0,26-35
23000.0,Rent,2.0,Education,C,7750.0,9.336,0.34,Y,4.0,True,True,0.0909090909090909,5750.0,474.9469171311378,0,18-25
80496.0,Mortgage,2.0,Homeimprovement,C,10000.0,13.72,0.12,N,10.0,False,True,0.0689655172413793,8049.6,704.2457274408855,0,26-35
52000.0,Rent,0.0,Personal,B,2500.0,8.88,0.05,N,10.0,False,True,0.0,5200.0,664.3470014377697,0,26-35
45000.0,Rent,4.0,Debtconsolidation,C,15000.0,11.54,0.33,N,2.0,True,True,0.16,22500.0,475.4569387234376,0,18-25
110000.0,Mortgage,10.0,Venture,C,8000.0,14.35,0.07,Y,2.0,False,True,0.3846153846153846,55000.0,811.3224979824104,0,26-35
74500.0,Rent,8.0,Venture,B,5000.0,11.36,0.07,N,2.0,False,True,0.3076923076923077,37250.0,758.2646296803299,0,26-35
21888.0,Rent,8.0,Education,B,6600.0,11.11,0.3,N,2.0,False,True,0.3478260869565217,10944.0,522.44236260474,0,18-25
16800.0,Rent,4.0,Personal,B,10625.0,11.072,0.63,N,3.0,True,True,0.1538461538461538,5600.0,468.74787734701,1,26-35
125004.0,Mortgage,6.0,Education,A,28000.0,7.9,0.22,N,2.0,False,True,0.2727272727272727,62502.0,794.4350851876345,0,18-25
47000.0,Rent,3.0,Personal,A,6000.0,7.66,0.13,N,2.0,False,True,0.125,23500.0,719.5583260115328,0,18-25
62000.0,Mortgage,2.0,Personal,B,12000.0,7.964,0.19,N,4.0,False,True,0.0769230769230769,15500.0,701.9351948777137,0,26-35
35000.0,Rent,9.0,Venture,B,4800.0,11.14,0.14,N,2.0,False,True,0.36,17500.0,674.7135887398631,0,18-25
100010.0,Mortgage,11.0,Personal,B,8000.0,9.99,0.08,N,17.0,False,True,0.275,5882.941176470588,781.4675205543917,0,36-45
46800.0,Rent,5.0,Education,C,12000.0,13.11,0.26,N,4.0,True,True,0.2,11700.0,539.5797561935383,0,18-25
94000.0,Mortgage,1.0,Medical,A,5000.0,7.68,0.05,N,3.0,False,True,0.0384615384615384,31333.33333333333,797.0774676684953,0,26-35
11820.0,Rent,4.0,Medical,B,1500.0,11.11,0.13,N,11.0,False,True,0.1025641025641025,1074.5454545454545,585.2587772963444,0,36-45
23421.0,Rent,3.0,Medical,E,4500.0,17.99,0.19,Y,3.0,True,True,0.1304347826086956,7807.0,340.6107642213774,0,18-25
180000.0,Own,9.0,Medical,C,20000.0,14.26,0.11,Y,4.0,False,True,0.36,45000.0,769.9501459434432,0,18-25
59000.0,Rent,5.0,Medical,D,21500.0,16.89,0.36,N,3.0,True,True,0.2083333333333333,19666.666666666668,350.7753952888901,0,18-25
26400.0,Rent,6.0,Medical,C,6000.0,6.0,0.23,N,4.0,False,True,0.2307692307692307,6600.0,525.501605100504,0,26-35
40000.0,Mortgage,3.0,Medical,B,18000.0,11.83,0.45,N,15.0,False,True,0.0697674418604651,2666.6666666666665,535.0019060946984,1,36-45
69000.0,Rent,2.0,Personal,A,14000.0,6.03,0.2,N,10.0,False,True,0.064516129032258,6900.0,659.4762344173232,0,26-35
65000.0,Rent,6.0,Debtconsolidation,C,16000.0,13.47,0.25,Y,3.0,False,True,0.2727272727272727,21666.666666666668,480.1995128102413,0,18-25
50000.0,Rent,3.0,Homeimprovement,C,10000.0,14.27,0.2,Y,4.0,False,True,0.125,12500.0,579.9985015367079,0,18-25
80000.0,Mortgage,8.0,Education,B,18000.0,10.62,0.22,N,2.0,False,True,0.3333333333333333,40000.0,755.5203393742646,0,18-25
78000.0,Mortgage,9.0,Education,A,8000.0,7.9,0.1,N,4.0,False,True,0.36,19500.0,867.3052601282868,0,18-25
75000.0,Own,4.0,Education,D,5000.0,15.62,0.07,N,10.0,False,True,0.1379310344827586,7500.0,664.9347541315154,0,26-35
77000.0,Mortgage,6.0,Venture,A,12400.0,7.51,0.16,N,2.0,False,True,0.2727272727272727,38500.0,810.614399860545,0,18-25
123000.0,Own,7.0,Personal,A,4000.0,8.59,0.03,N,5.0,False,True,0.25,24600.0,899.2922376849247,0,26-35
72000.0,Rent,0.0,Homeimprovement,A,8000.0,7.9,0.11,N,7.0,False,True,0.0,10285.714285714286,720.0802110880427,0,26-35
36000.0,Own,4.0,Education,A,6500.0,5.42,0.18,N,2.0,False,True,0.1666666666666666,18000.0,780.2110921353785,0,18-25
70000.0,Rent,13.0,Education,A,8000.0,7.49,0.11,N,5.0,False,True,0.4482758620689655,14000.0,778.7899300677623,0,26-35
33280.0,Rent,0.0,Venture,C,6000.0,13.23,0.18,Y,2.0,False,True,0.0,16640.0,586.384839906166,0,18-25
200000.0,Mortgage,4.0,Venture,A,20000.0,7.51,0.1,N,11.0,False,True,0.0909090909090909,18181.81818181818,871.7698989602895,0,36-45
30000.0,Rent,8.0,Personal,B,11000.0,9.91,0.37,N,6.0,True,True,0.2962962962962963,5000.0,496.47652404314846,0,26-35
115000.0,Rent,2.0,Education,B,4000.0,12.69,0.03,N,10.0,False,True,0.0625,11500.0,735.2680848367509,0,26-35
26785.0,Rent,6.0,Medical,A,9000.0,7.9,0.34,N,4.0,True,True,0.2857142857142857,6696.25,506.0122299126309,0,18-25
98000.0,Mortgage,2.0,Personal,C,5000.0,13.22,0.05,Y,3.0,True,True,0.0833333333333333,32666.666666666668,757.8042743372558,0,18-25
17000.0,Rent,4.0,Debtconsolidation,B,7000.0,10.62,0.41,N,2.0,True,True,0.1904761904761904,8500.0,455.207223861755,1,18-25
105400.0,Mortgage,6.0,Medical,D,24000.0,14.61,0.23,N,3.0,True,True,0.2307692307692307,35133.333333333336,542.6659485941392,0,26-35
60000.0,Rent,5.0,Debtconsolidation,C,2100.0,14.65,0.04,N,2.0,False,True,0.2272727272727272,30000.0,615.9064773217347,0,18-25
45500.0,Mortgage,6.0,Homeimprovement,B,10000.0,10.65,0.22,N,10.0,False,True,0.2068965517241379,4550.0,677.4640549404967,0,26-35
40000.0,Mortgage,16.0,Debtconsolidation,A,16000.0,5.99,0.4,N,10.0,False,True,0.5,4000.0,579.1604968896224,0,26-35
10000.0,Rent,4.0,Personal,B,1000.0,10.37,0.1,N,2.0,True,True,0.1739130434782608,5000.0,589.6805203269082,0,18-25
88000.0,Mortgage,7.0,Medical,A,10000.0,8.94,0.11,N,2.0,False,True,0.3043478260869565,44000.0,789.531749404849,0,18-25
20000.0,Rent,0.0,Medical,B,2150.0,10.37,0.11,N,6.0,False,True,0.0,3333.333333333333,576.5894029636806,0,26-35
65000.0,Rent,6.0,Medical,A,16000.0,8.49,0.25,N,4.0,False,True,0.2727272727272727,16250.0,550.2958031051627,0,18-25
150000.0,Mortgage,7.0,Medical,B,28000.0,9.99,0.19,N,3.0,False,True,0.3043478260869565,50000.0,696.8851807238617,0,18-25
65000.0,Mortgage,3.0,Venture,A,5000.0,6.99,0.08,N,7.0,False,True,0.088235294117647,9285.714285714286,842.4173638817422,0,26-35
