Age,Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status
23,70000,Rent,4.0,Personal,A,2000,7.66,0.03,N,2,0
24,85000,Mortgage,8.0,Education,B,20000,11.11,0.24,N,4,0
24,57000,Mortgage,0.0,Medical,B,2400,12.69,0.04,N,4,0
26,45996,Own,5.0,Homeimprovement,A,9225,,0.2,N,2,0
24,200000,Rent,8.0,Venture,B,12000,12.69,0.06,N,2,0
26,55500,Rent,3.0,Medical,C,10000,,0.18,Y,4,0
21,55600,Rent,2.0,Personal,A,6000,,0.11,N,3,0
25,50000,Rent,3.0,Personal,D,12000,16.77,0.24,N,3,0
24,30000,Rent,5.0,Medical,G,2000,21.27,0.07,Y,3,1
31,95000,Mortgage,5.0,Venture,B,18000,11.71,0.19,N,9,0
28,125004,Rent,12.0,Personal,A,6000,7.51,0.05,N,10,0
22,38400,Rent,5.0,Education,B,4000,10.59,0.1,N,3,0
26,58000,Rent,0.0,Personal,A,3500,8.59,0.06,N,3,0
24,85000,Mortgage,1.0,Debtconsolidation,A,12000,7.88,0.14,N,3,0
34,154000,Mortgage,4.0,Personal,B,4000,10.37,0.03,N,8,0
26,53000,Rent,4.0,Debtconsolidation,D,5000,15.95,0.09,Y,2,1
25,100000,Mortgage,9.0,Education,B,8000,10.25,0.08,N,3,0
23,130000,Own,7.0,Venture,C,15000,13.22,0.12,Y,3,0
33,125000,Mortgage,2.0,Debtconsolidation,A,20000,7.88,0.16,N,7,0
29,40000,Rent,1.0,Homeimprovement,C,10000,13.16,0.25,N,7,1
23,35004,Rent,4.0,Medical,C,5000,14.72,0.14,Y,3,0
26,122000,Mortgage,4.0,Debtconsolidation,C,4800,,0.04,Y,2,0
26,57000,Mortgage,6.0,Medical,C,9000,12.99,0.16,Y,4,0
28,30000,Rent,3.0,Medical,B,5000,9.88,0.17,N,8,0
35,138000,Rent,2.0,Personal,A,14000,7.9,0.1,N,8,1
27,78262,Rent,4.0,Homeimprovement,B,11525,,0.15,N,8,0
25,134748,Mortgage,4.0,Homeimprovement,B,25000,10.75,0.19,N,3,0
24,55000,Rent,2.0,Homeimprovement,D,8000,14.61,0.15,N,2,1
35,50000,Mortgage,5.0,Homeimprovement,C,6000,13.49,0.12,N,6,0
39,50400,Rent,4.0,Education,D,7000,11.86,0.14,N,11,0
21,63000,Mortgage,5.0,Debtconsolidation,B,11200,10.99,0.18,N,4,0
30,54000,Mortgage,8.0,Homeimprovement,G,24000,18.72,0.44,N,8,1
34,156000,Rent,4.0,Education,A,35000,,0.22,N,5,0
24,55000,Rent,2.0,Debtconsolidation,A,4500,7.9,0.08,N,2,0
28,70000,Mortgage,13.0,Homeimprovement,A,5000,6.99,0.07,N,7,0
26,69654,Mortgage,10.0,Medical,C,7500,,0.11,Y,3,0
39,128000,Mortgage,12.0,Homeimprovement,C,20000,13.11,0.16,Y,15,1
44,17112,Rent,,Debtconsolidation,A,1200,7.66,0.07,N,14,0
26,94000,Mortgage,1.0,Debtconsolidation,A,5000,7.68,0.05,N,3,0
29,66000,Mortgage,10.0,Debtconsolidation,B,7000,9.91,0.11,N,6,0
31,56000,Rent,15.0,Homeimprovement,C,3000,14.27,0.05,Y,5,0
25,85000,Mortgage,5.0,Education,C,9600,13.85,0.11,N,2,0
25,30000,Rent,5.0,Personal,C,8000,12.87,0.27,N,4,0
43,41000,Mortgage,7.0,Medical,C,6000,13.22,0.15,Y,16,0
28,91000,Mortgage,6.0,Personal,B,15000,9.88,0.16,N,9,0
32,35000,Rent,2.0,Personal,B,5500,11.49,0.16,N,7,0
23,92500,Mortgage,5.0,Education,A,2500,,0.03,N,2,0
28,36000,Mortgage,4.0,Medical,A,4000,6.91,0.11,N,8,0
32,180000,Mortgage,12.0,Personal,A,10000,7.9,0.06,N,10,0
29,35000,Mortgage,1.0,Personal,A,3600,8.0,0.1,N,9,0
26,83957,Mortgage,4.0,Medical,A,3000,8.94,0.04,N,3,0
36,62400,Mortgage,0.0,Personal,A,2400,7.49,0.04,N,14,0
39,72000,Mortgage,9.0,Debtconsolidation,B,15000,11.86,0.21,N,15,0
22,52800,Rent,3.0,Personal,D,7000,17.58,0.13,N,3,0
26,155142,Mortgage,6.0,Personal,D,23000,18.25,0.15,N,2,0
29,40800,Rent,2.0,Debtconsolidation,C,3500,11.97,0.09,Y,9,0
28,116000,Mortgage,10.0,Medical,B,25000,12.18,0.22,N,10,0
29,145000,Mortgage,0.0,Venture,B,25000,10.08,0.17,N,8,0
39,68000,Rent,1.0,Education,C,5000,13.49,0.07,Y,11,0
27,97000,Mortgage,0.0,Venture,A,12000,6.91,0.12,N,7,0
25,40800,Rent,,Debtconsolidation,D,1000,15.57,0.02,N,2,1
24,56000,Rent,8.0,Personal,C,5000,14.27,0.09,N,4,0
33,76248,Mortgage,17.0,Education,A,10400,7.66,0.14,N,5,0
25,60000,Mortgage,5.0,Personal,A,10425,8.49,0.17,N,4,0
27,82000,Mortgage,11.0,Venture,A,10000,7.51,0.12,N,6,0
31,20000,Own,3.0,Personal,B,5000,11.83,0.25,N,7,0
33,99996,Mortgage,14.0,Personal,B,6000,11.11,0.06,N,7,0
23,28800,Own,7.0,Medical,A,12250,7.51,0.43,N,4,0
50,42000,Mortgage,3.0,Homeimprovement,D,10000,14.84,0.24,Y,13,0
26,130000,Rent,0.0,Education,B,4000,10.99,0.03,N,3,0
23,80004,Mortgage,2.0,Venture,B,19000,10.62,0.24,N,2,0
31,54996,Rent,5.0,Personal,A,5000,8.0,0.09,N,9,0
28,58200,Mortgage,8.0,Personal,B,4500,11.12,0.08,N,7,0
29,80000,Mortgage,5.0,Medical,B,22000,10.59,0.28,N,10,0
26,27600,Own,2.0,Venture,B,2500,11.71,0.09,N,3,0
26,44000,Rent,10.0,Personal,C,8000,13.8,0.18,N,3,0
35,14400,Own,2.0,Debtconsolidation,B,5550,10.37,0.39,N,8,1
23,51319,Mortgage,2.0,Venture,B,20000,10.37,0.39,N,3,0
26,39672,Mortgage,10.0,Personal,D,11500,15.7,0.29,N,4,0
22,50000,Mortgage,6.0,Venture,C,10000,,0.2,Y,3,0
23,50952,Rent,0.0,Education,C,4000,11.54,0.08,Y,4,0
33,30000,Mortgage,17.0,Homeimprovement,A,10000,5.79,0.33,N,6,0
29,80000,Rent,2.0,Debtconsolidation,C,35000,12.68,0.44,Y,10,1
23,60000,Rent,0.0,Venture,B,8000,11.14,0.13,N,3,0
26,79500,Mortgage,1.0,Education,B,6000,11.36,0.08,N,2,0
24,42000,Mortgage,8.0,Homeimprovement,D,2500,15.28,0.06,N,2,0
22,39996,Rent,0.0,Personal,B,7500,11.86,0.19,N,3,0
27,49500,Rent,6.0,Personal,C,6000,11.22,0.12,N,8,0
23,60000,Rent,1.0,Venture,B,8000,12.21,0.13,N,4,0
40,130000,Mortgage,0.0,Debtconsolidation,A,24250,6.17,0.19,N,16,0
29,70000,Rent,6.0,Education,A,7000,7.74,0.1,N,6,0
22,23000,Rent,2.0,Education,C,7750,,0.34,Y,4,1
29,80496,Mortgage,2.0,Homeimprovement,C,10000,13.72,0.12,N,10,0
32,52000,Rent,0.0,Personal,B,2500,8.88,0.05,N,10,0
25,45000,Rent,4.0,Debtconsolidation,C,15000,,0.33,N,2,1
26,110000,Mortgage,10.0,Venture,C,8000,14.35,0.07,Y,2,0
26,74500,Rent,8.0,Venture,B,5000,11.36,0.07,N,2,0
23,21888,Rent,8.0,Education,B,6600,11.11,0.3,N,2,0
26,16800,Rent,,Personal,B,10625,,0.63,N,3,1
22,125004,Mortgage,6.0,Education,A,30000,7.9,0.24,N,2,0
24,47000,Rent,3.0,Personal,A,6000,7.66,0.13,N,2,0
26,62000,Mortgage,2.0,Personal,B,12000,,0.19,N,4,0
25,35000,Rent,9.0,Venture,B,4800,11.14,0.14,N,2,0
40,100010,Mortgage,11.0,Personal,B,8000,9.99,0.08,N,17,0
25,46800,Rent,5.0,Education,C,12000,13.11,0.26,N,4,1
26,94000,Mortgage,1.0,Medical,A,5000,7.68,0.05,N,3,0
39,11820,Rent,,Medical,B,1500,11.11,0.13,N,11,0
23,23421,Rent,3.0,Medical,E,4500,17.99,0.19,Y,3,1
25,180000,Own,9.0,Medical,C,20000,14.26,0.11,Y,4,0
24,59000,Rent,5.0,Medical,D,21500,16.89,0.36,N,3,1
26,26400,Rent,6.0,Medical,C,6000,6.0,0.23,N,4,0
43,40000,Mortgage,3.0,Medical,B,18000,11.83,0.45,N,15,0
31,69000,Rent,2.0,Personal,A,14000,6.03,0.2,N,10,0
22,65000,Rent,6.0,Debtconsolidation,C,16000,13.47,0.25,Y,3,0
24,50000,Rent,3.0,Homeimprovement,C,10000,14.27,0.2,Y,4,0
24,80000,Mortgage,8.0,Education,B,18000,10.62,0.23,N,2,0
25,78000,Mortgage,9.0,Education,A,8000,7.9,0.1,N,4,0
29,75000,Own,,Education,D,5000,15.62,0.07,N,10,0
22,77000,Mortgage,6.0,Venture,A,12400,7.51,0.16,N,2,0
28,123000,Own,7.0,Personal,A,4000,8.59,0.03,N,5,0
31,72000,Rent,0.0,Homeimprovement,A,8000,7.9,0.11,N,7,0
24,36000,Own,,Education,A,6500,5.42,0.18,N,2,0
29,70000,Rent,13.0,Education,A,8000,7.49,0.11,N,5,0
21,33280,Rent,0.0,Venture,C,6000,13.23,0.18,Y,2,0
44,200000,Mortgage,,Venture,A,20000,7.51,0.1,N,11,0
27,30000,Rent,8.0,Personal,B,11000,9.91,0.37,N,6,1
32,115000,Rent,2.0,Education,B,4000,12.69,0.03,N,10,0
21,26785,Rent,6.0,Medical,A,9000,7.9,0.34,N,4,1
24,98000,Mortgage,2.0,Personal,C,5000,13.22,0.05,Y,3,1
21,17000,Rent,,Debtconsolidation,B,7000,10.62,0.41,N,2,1
26,105400,Mortgage,6.0,Medical,D,24000,14.61,0.19,N,3,1
22,60000,Rent,5.0,Debtconsolidation,C,2100,14.65,0.04,N,2,0
29,45500,Mortgage,6.0,Homeimprovement,B,10000,10.65,0.22,N,10,0
32,40000,Mortgage,16.0,Debtconsolidation,A,16000,5.99,0.4,N,10,0
23,10000,Rent,,Personal,B,1000,10.37,0.1,N,2,1
23,88000,Mortgage,7.0,Medical,A,10000,8.94,0.11,N,2,0
28,20000,Rent,0.0,Medical,B,2150,10.37,0.11,N,6,0
22,65000,Rent,6.0,Medical,A,16000,8.49,0.25,N,4,0
23,150000,Mortgage,7.0,Medical,B,30000,9.99,0.2,N,3,0
34,65000,Mortgage,3.0,Venture,A,5000,6.99,0.08,N,7,0
27,48000,Mortgage,5.0,Debtconsolidation,B,4300,12.69,0.09,N,7,0
32,78000,Rent,0.0,Education,C,13000,12.87,0.17,Y,10,0
24,49278,Rent,4.0,Debtconsolidation,C,11000,13.22,0.22,Y,2,0
25,48000,Rent,8.0,Medical,A,11000,7.51,0.23,N,4,0
31,30000,Rent,4.0,Debtconsolidation,D,10000,14.42,0.33,N,9,1
25,26780,Rent,0.0,Debtconsolidation,B,6000,9.25,0.22,N,4,0
24,41000,Rent,1.0,Medical,C,7000,12.53,0.17,N,2,0
27,71500,Mortgage,2.0,Education,A,15000,,0.21,N,8,0
23,95000,Rent,2.0,Venture,A,35000,7.9,0.37,N,2,1
25,33280,Rent,1.0,Personal,B,5500,,0.17,N,2,0
24,48000,Rent,8.0,Medical,C,6000,12.22,0.13,Y,4,0
27,78000,Own,4.0,Venture,B,6000,12.18,0.08,N,10,0
23,46500,Rent,0.0,Personal,C,10000,14.26,0.22,Y,3,1
23,78000,Rent,5.0,Venture,D,3000,16.89,0.04,N,3,0
37,32000,Rent,4.0,Debtconsolidation,C,10000,13.79,0.31,N,15,1
31,73000,Mortgage,9.0,Debtconsolidation,E,18000,17.39,0.25,Y,10,1
32,65000,Rent,4.0,Medical,A,6000,7.49,0.09,N,5,0
38,45600,Rent,5.0,Venture,D,9000,16.29,0.2,Y,13,0
31,97500,Mortgage,3.0,Medical,A,6000,7.51,0.06,N,9,0
22,64000,Mortgage,3.0,Debtconsolidation,B,14400,11.71,0.23,N,2,1
28,178000,Rent,5.0,Education,D,25000,14.46,0.14,Y,7,1
30,43500,Mortgage,5.0,Education,C,11250,13.61,0.26,Y,9,0
33,12000,Rent,,Education,A,1000,7.88,0.08,N,7,1
27,50000,Rent,0.0,Education,A,8000,7.9,0.16,N,8,0
28,62000,Rent,3.0,Medical,B,9200,10.0,0.15,N,9,0
37,220000,Rent,0.0,Education,B,30000,9.91,0.14,N,17,0
37,45996,Mortgage,11.0,Venture,B,6000,9.25,0.13,N,16,0
33,24000,Rent,3.0,Education,B,1600,8.88,0.07,N,6,0
29,62532,Rent,6.0,Venture,C,9000,13.49,0.14,N,6,0
24,37000,Other,2.0,Education,B,5000,11.58,0.14,N,3,0
35,26400,Rent,4.0,Personal,B,8000,,0.3,N,8,0
25,35000,Mortgage,5.0,Homeimprovement,B,10000,11.99,0.29,N,4,0
24,40000,Mortgage,3.0,Venture,B,10500,11.36,0.26,N,4,0
23,26400,Rent,7.0,Education,A,3800,7.9,0.14,N,2,0
21,87547,Mortgage,2.0,Education,A,12000,5.99,0.14,N,2,0
42,150000,Rent,19.0,Medical,C,18400,,0.12,N,17,0
23,74000,Rent,1.0,Venture,D,15000,15.65,0.2,N,2,1
27,80000,Mortgage,4.0,Medical,A,15000,6.54,0.19,N,8,0
21,44000,Rent,5.0,Venture,D,8000,16.29,0.18,N,3,1
23,70000,Mortgage,7.0,Venture,A,3500,6.03,0.05,N,3,0
31,28452,Rent,4.0,Personal,B,1500,11.11,0.05,N,5,0
25,58000,Rent,9.0,Medical,B,19900,11.83,0.34,N,4,1
32,47500,Rent,2.0,Medical,B,5300,11.49,0.11,N,8,0
23,122004,Mortgage,7.0,Education,B,11200,10.99,0.09,N,3,0
24,23000,Rent,2.0,Education,C,1600,,0.07,Y,2,0
26,126000,Mortgage,4.0,Debtconsolidation,C,7500,13.92,0.06,N,2,0
22,81600,Mortgage,6.0,Personal,A,1300,6.39,0.02,N,3,0
32,36000,Own,3.0,Education,B,5000,10.0,0.14,N,6,0
26,59497,Own,2.0,Medical,E,7000,17.88,0.1,N,2,1
23,51036,Mortgage,7.0,Education,C,15000,13.16,0.29,N,4,0
24,40000,Mortgage,2.0,Homeimprovement,B,2500,9.99,0.06,N,2,0
22,35000,Mortgage,6.0,Education,A,8000,5.79,0.23,N,4,0
36,55500,Mortgage,15.0,Education,B,7875,11.99,0.14,N,12,0
42,13200,Rent,4.0,Debtconsolidation,C,2500,,0.19,Y,14,1
21,34500,Rent,2.0,Homeimprovement,D,11500,15.31,0.33,N,2,1
21,38000,Own,5.0,Education,B,14000,11.12,0.37,N,3,0
27,42000,Rent,1.0,Personal,B,3000,11.83,0.07,N,9,0
25,115000,Mortgage,3.0,Education,A,7600,6.99,0.07,N,4,0
22,40000,Own,0.0,Venture,C,6400,14.22,0.16,Y,2,0
22,92700,Mortgage,1.0,Venture,A,9250,7.9,0.1,N,3,0
23,55000,Rent,7.0,Medical,B,4200,9.91,0.08,N,3,0
24,79992,Rent,0.0,Debtconsolidation,B,7500,10.71,0.09,N,4,0
22,38117,Mortgage,0.0,Personal,B,13500,11.83,0.35,N,4,0
23,80000,Mortgage,3.0,Venture,A,5500,5.42,0.07,N,2,0
24,36000,Rent,1.0,Medical,A,7000,6.03,0.19,N,3,0
33,22800,Rent,0.0,Medical,A,2000,8.49,0.09,N,10,0
31,33000,Own,6.0,Debtconsolidation,D,5000,14.96,0.15,N,6,0
24,42000,Rent,0.0,Venture,B,15000,11.58,0.36,N,4,1
23,120000,Mortgage,,Personal,A,10000,,0.08,N,2,0
21,58800,Mortgage,5.0,Education,D,25000,14.09,0.43,N,2,0
29,125000,Mortgage,0.0,Homeimprovement,C,10000,14.35,0.08,Y,9,0
26,67000,Mortgage,1.0,Venture,A,29000,7.51,0.43,N,2,0
32,348000,Mortgage,16.0,Personal,B,25000,11.83,0.07,N,10,0
26,45000,Mortgage,10.0,Homeimprovement,A,8000,6.99,0.18,N,2,0
29,30000,Rent,3.0,Debtconsolidation,C,3000,,0.1,Y,6,1
41,43439,Rent,,Medical,C,15000,12.73,0.35,N,15,1
22,100000,Mortgage,0.0,Debtconsolidation,B,20000,11.83,0.2,N,2,0
27,39000,Rent,4.0,Debtconsolidation,B,7200,10.65,0.18,N,5,1
45,43800,Rent,0.0,Education,B,5000,,0.11,N,14,1
26,45000,Rent,5.0,Education,D,8000,18.25,0.18,N,2,0
21,55000,Rent,5.0,Venture,B,12000,10.62,0.22,N,2,0
22,40000,Own,0.0,Education,B,6000,11.48,0.15,N,4,0
29,91560,Mortgage,8.0,Debtconsolidation,A,22000,6.91,0.24,N,8,0
22,65000,Mortgage,6.0,Venture,A,17000,8.94,0.26,N,2,0
23,71496,Rent,7.0,Education,A,10000,7.51,0.14,N,2,0
24,69000,Mortgage,9.0,Debtconsolidation,B,3000,11.11,0.04,N,2,0
23,30000,Rent,7.0,Education,B,3600,9.7,0.12,N,3,0
33,45000,Rent,2.0,Education,A,9600,8.49,0.21,N,5,0
39,36000,Rent,3.0,Medical,A,5000,,0.14,N,16,0
24,55000,Mortgage,1.0,Medical,B,5225,9.91,0.1,N,4,0
23,105504,Rent,5.0,Venture,E,15000,15.95,0.14,Y,3,0
22,91800,Mortgage,0.0,Medical,D,16800,15.62,0.16,Y,4,1
34,39000,Rent,5.0,Homeimprovement,B,7200,11.71,0.18,N,5,1
26,95000,Mortgage,1.0,Venture,B,15000,10.37,0.16,N,4,0
26,53000,Own,8.0,Personal,B,16000,10.25,0.3,N,2,0
28,33000,Own,1.0,Personal,D,7500,15.31,0.23,N,10,0
24,32000,Rent,1.0,Homeimprovement,C,6000,13.49,0.19,N,3,1
34,72960,Mortgage,1.0,Medical,B,11000,12.21,0.15,N,8,0
27,168000,Mortgage,5.0,Debtconsolidation,F,24000,17.26,0.14,N,9,1
28,32468,Mortgage,12.0,Venture,A,6000,7.51,0.18,N,5,0
22,60000,Rent,0.0,Debtconsolidation,A,13000,8.94,0.22,N,2,0
22,91000,Rent,6.0,Medical,A,8000,6.92,0.09,N,4,0
30,50000,Mortgage,0.0,Education,D,10000,16.89,0.2,N,10,0
30,96000,Mortgage,7.0,Personal,B,6000,11.49,0.06,N,6,0
26,69846,Rent,2.0,Education,F,22500,18.99,0.32,Y,2,1
31,30000,Rent,0.0,Homeimprovement,D,5500,15.21,0.18,Y,7,1
25,25000,Rent,1.0,Education,C,5200,12.53,0.21,Y,3,0
22,21600,Rent,2.0,Education,C,3000,13.49,0.14,N,3,0
25,90000,Rent,9.0,Medical,B,25000,10.99,0.28,N,4,0
21,20400,Own,2.0,Education,C,1275,15.23,0.06,Y,3,0
26,92000,Rent,0.0,Venture,D,6000,15.58,0.07,N,3,1
22,47004,Rent,2.0,Venture,A,5550,7.49,0.12,N,4,0
44,108000,Mortgage,12.0,Homeimprovement,B,10000,11.11,0.09,N,11,0
31,59534,Rent,5.0,Personal,D,15000,15.21,0.25,Y,10,0
23,30996,Own,2.0,Venture,B,5000,11.86,0.16,N,2,0
23,63000,Rent,7.0,Education,C,2500,14.72,0.04,N,2,0
22,30000,Own,6.0,Education,A,2500,7.29,0.08,N,3,0
22,31200,Mortgage,3.0,Venture,B,3200,10.99,0.1,N,2,0
36,73000,Rent,3.0,Personal,B,4000,11.12,0.05,N,16,0
27,140000,Own,8.0,Personal,D,28000,15.65,0.2,N,5,0
22,34000,Rent,2.0,Debtconsolidation,B,8000,9.91,0.24,N,4,0
27,80000,Mortgage,5.0,Venture,C,35000,,0.44,N,8,0
31,50000,Mortgage,7.0,Debtconsolidation,A,4800,6.03,0.1,N,7,0
33,96000,Mortgage,0.0,Debtconsolidation,C,8000,13.72,0.08,N,5,0
22,80000,Rent,1.0,Education,B,18000,10.99,0.23,N,4,0
30,75000,Rent,5.0,Homeimprovement,B,22000,10.62,0.29,N,10,0
24,90000,Rent,2.0,Education,B,11000,11.14,0.12,N,3,0
23,66215,Rent,1.0,Medical,D,25000,15.37,0.32,Y,2,1
29,163000,Rent,,Venture,D,4000,16.29,0.02,N,6,1
34,75000,Rent,2.0,Venture,A,12000,7.29,0.16,N,8,0
25,25000,Rent,5.0,Homeimprovement,B,3450,11.99,0.14,N,4,1
29,48000,Mortgage,6.0,Debtconsolidation,C,15000,13.98,0.31,N,10,0
28,36000,Mortgage,1.0,Personal,D,1400,15.37,0.04,Y,9,0
28,75000,Mortgage,12.0,Venture,C,15250,11.34,0.2,N,5,0
25,77650,Rent,8.0,Personal,B,22000,11.48,0.28,N,3,1
31,75000,Mortgage,8.0,Venture,B,15600,11.83,0.21,N,5,0
34,42000,Mortgage,7.0,Medical,B,7500,11.11,0.18,N,7,0
24,46000,Rent,0.0,Education,D,5975,14.46,0.13,Y,2,1
23,27600,Rent,2.0,Debtconsolidation,C,2000,13.99,0.07,N,3,1
33,48000,Mortgage,17.0,Venture,A,7000,6.62,0.15,N,8,0
31,123000,Mortgage,7.0,Medical,A,15000,6.91,0.12,N,7,0
33,62000,Rent,1.0,Personal,A,3000,6.99,0.05,N,9,0
23,54000,Rent,7.0,Education,D,2500,16.32,0.05,Y,2,0
26,70000,Rent,0.0,Education,A,12000,5.99,0.17,N,4,0
21,72000,Rent,1.0,Education,C,7500,13.22,0.1,N,3,0
34,80000,Mortgage,4.0,Homeimprovement,B,11000,10.99,0.14,N,6,0
41,37000,Mortgage,3.0,Venture,C,6000,12.99,0.16,N,11,0
42,48000,Mortgage,26.0,Medical,A,6500,7.29,0.14,N,11,0
30,70000,Mortgage,15.0,Debtconsolidation,B,10000,10.75,0.14,N,6,0
29,30996,Rent,0.0,Debtconsolidation,B,18000,10.75,0.58,N,7,1
24,57100,Rent,3.0,Venture,C,6625,11.22,0.12,Y,4,0
29,100000,Rent,4.0,Venture,A,10000,9.63,0.1,N,9,0
28,112123,Rent,2.0,Venture,A,7200,8.59,0.06,N,9,0
30,31500,Rent,0.0,Medical,C,12250,13.85,0.39,N,5,1
28,60000,Rent,3.0,Education,B,3600,9.63,0.06,N,5,0
43,49578,Mortgage,11.0,Personal,C,16000,13.49,0.32,Y,13,0
35,28080,Rent,3.0,Debtconsolidation,C,9600,13.57,0.34,N,6,1
23,58000,Rent,4.0,Education,B,8000,10.37,0.14,N,4,0
22,68000,Rent,7.0,Personal,B,5000,9.99,0.07,N,3,0
25,86000,Rent,9.0,Education,D,16000,16.29,0.19,Y,2,0
25,77078,Mortgage,1.0,Debtconsolidation,B,3425,12.18,0.04,N,2,0
22,42000,Rent,4.0,Medical,C,7000,13.61,0.17,N,2,0
26,120000,Mortgage,10.0,Medical,A,10000,5.42,0.08,N,2,0
23,85000,Mortgage,7.0,Education,A,5275,7.43,0.06,N,3,0
37,52000,Mortgage,1.0,Venture,A,15000,,0.29,N,14,0
40,63996,Mortgage,8.0,Education,B,12000,10.25,0.19,N,12,0
21,29000,Rent,6.0,Medical,C,11000,13.49,0.38,Y,2,1
35,84175,Rent,4.0,Education,A,7000,7.29,0.08,N,8,0
27,40000,Rent,0.0,Venture,D,8000,15.65,0.2,Y,6,1
28,54000,Rent,0.0,Education,C,4500,,0.08,Y,8,1
22,42000,Mortgage,6.0,Education,C,14750,12.99,0.35,N,4,0
21,88000,Mortgage,1.0,Personal,D,25000,14.83,0.28,N,4,1
21,26400,Rent,0.0,Debtconsolidation,C,3600,14.27,0.14,Y,3,0
22,60000,Mortgage,6.0,Venture,A,6125,6.17,0.1,N,3,0
35,51000,Rent,8.0,Debtconsolidation,C,8000,13.11,0.16,Y,10,0
37,40000,Rent,0.0,Medical,B,12000,9.91,0.3,N,16,0
21,55000,Rent,5.0,Medical,B,12000,10.62,0.22,N,2,0
22,72000,Mortgage,4.0,Personal,D,15000,16.32,0.21,Y,4,0
