Age,Income,Home_ownership,Employment_length,Loan_intent,internal_credit_rating,Loan_amount,Interest_rate,Loan_percent_income,Default,Credit_history_length,Loan_status,is_eligible,age_employment_ratio,income_per_credit_year
22.0,130000.0,Mortgage,3.0,Debtconsolidation,C,14500.0,12.538,0.11,N,2.0,False,True,0.13636363636363635,65000.0
50.0,58800.0,Mortgage,12.0,Debtconsolidation,E,22000.0,17.74,0.37,N,15.0,True,True,0.24,3920.0
35.0,21600.0,Rent,0.0,Debtconsolidation,C,3000.0,14.35,0.14,N,9.0,False,True,0.0,2400.0
24.0,30000.0,Rent,0.0,Education,D,9000.0,15.58,0.3,N,3.0,True,True,0.0,10000.0
23.0,70000.0,Rent,4.0,Personal,A,2000.0,7.66,0.03,N,2.0,False,True,0.17391304347826086,35000.0
24.0,85000.0,Mortgage,8.0,Education,B,20000.0,11.11,0.24,N,4.0,False,True,0.3333333333333333,21250.0
24.0,57000.0,Mortgage,0.0,Medical,B,2400.0,12.69,0.04,N,4.0,False,True,0.0,14250.0
26.0,45996.0,Own,5.0,Homeimprovement,A,9225.0,10.47,0.2,N,2.0,False,True,0.19230769230769232,22998.0
24.0,200000.0,Rent,8.0,Venture,B,12000.0,12.69,0.06,N,2.0,False,True,0.3333333333333333,100000.0
26.0,55500.0,Rent,3.0,Medical,C,10000.0,11.206,0.18,Y,4.0,False,True,0.11538461538461539,13875.0
21.0,55600.0,Rent,2.0,Personal,A,6000.0,8.326,0.11,N,3.0,False,True,0.09523809523809523,18533.333333333332
25.0,50000.0,Rent,3.0,Personal,D,12000.0,16.77,0.24,N,3.0,False,True,0.12,16666.666666666668
24.0,30000.0,Rent,5.0,Medical,G,2000.0,21.27,0.07,Y,3.0,True,True,0.20833333333333334,10000.0
31.0,95000.0,Mortgage,5.0,Venture,B,18000.0,11.71,0.19,N,9.0,False,True,0.16129032258064516,10555.555555555555
28.0,125004.0,Rent,12.0,Personal,A,6000.0,7.51,0.05,N,10.0,False,True,0.42857142857142855,12500.4
22.0,38400.0,Rent,5.0,Education,B,4000.0,10.59,0.1,N,3.0,False,True,0.22727272727272727,12800.0
26.0,58000.0,Rent,0.0,Personal,A,3500.0,8.59,0.06,N,3.0,False,True,0.0,19333.333333333332
24.0,85000.0,Mortgage,1.0,Debtconsolidation,A,12000.0,7.88,0.14,N,3.0,False,True,0.041666666666666664,28333.333333333332
34.0,154000.0,Mortgage,4.0,Personal,B,4000.0,10.37,0.03,N,8.0,False,True,0.11764705882352941,19250.0
26.0,53000.0,Rent,4.0,Debtconsolidation,D,5000.0,15.95,0.09,Y,2.0,True,True,0.15384615384615385,26500.0
25.0,100000.0,Mortgage,9.0,Education,B,8000.0,10.25,0.08,N,3.0,False,True,0.36,33333.333333333336
23.0,130000.0,Own,7.0,Venture,C,15000.0,13.22,0.12,Y,3.0,False,True,0.30434782608695654,43333.333333333336
33.0,125000.0,Mortgage,2.0,Debtconsolidation,A,20000.0,7.88,0.16,N,7.0,False,True,0.06060606060606061,17857.14285714286
29.0,40000.0,Rent,1.0,Homeimprovement,C,10000.0,13.16,0.25,N,7.0,True,True,0.034482758620689655,5714.285714285715
23.0,35004.0,Rent,4.0,Medical,C,5000.0,14.72,0.14,Y,3.0,False,True,0.17391304347826086,11668.0
26.0,122000.0,Mortgage,4.0,Debtconsolidation,C,4800.0,7.826,0.04,Y,2.0,False,True,0.15384615384615385,61000.0
26.0,57000.0,Mortgage,6.0,Medical,C,9000.0,12.99,0.16,Y,4.0,False,True,0.23076923076923078,14250.0
28.0,30000.0,Rent,3.0,Medical,B,5000.0,9.88,0.17,N,8.0,False,True,0.10714285714285714,3750.0
35.0,138000.0,Rent,2.0,Personal,A,14000.0,7.9,0.1,N,8.0,True,True,0.05714285714285714,17250.0
27.0,78262.0,Rent,4.0,Homeimprovement,B,11525.0,14.772,0.15,N,8.0,False,True,0.14814814814814814,9782.75
25.0,134748.0,Mortgage,4.0,Homeimprovement,B,25000.0,10.75,0.19,N,3.0,False,True,0.16,44916.0
24.0,55000.0,Rent,2.0,Homeimprovement,D,8000.0,14.61,0.15,N,2.0,True,True,0.08333333333333333,27500.0
35.0,50000.0,Mortgage,5.0,Homeimprovement,C,6000.0,13.49,0.12,N,6.0,False,True,0.14285714285714285,8333.333333333334
39.0,50400.0,Rent,4.0,Education,D,7000.0,11.86,0.14,N,11.0,False,True,0.10256410256410256,4581.818181818182
21.0,63000.0,Mortgage,5.0,Debtconsolidation,B,11200.0,10.99,0.18,N,4.0,False,True,0.23809523809523808,15750.0
30.0,54000.0,Mortgage,8.0,Homeimprovement,G,24000.0,18.72,0.44,N,8.0,True,True,0.26666666666666666,6750.0
34.0,156000.0,Rent,4.0,Education,A,28000.0,10.39,0.18,N,5.0,False,True,0.11764705882352941,31200.0
24.0,55000.0,Rent,2.0,Debtconsolidation,A,4500.0,7.9,0.08,N,2.0,False,True,0.08333333333333333,27500.0
28.0,70000.0,Mortgage,13.0,Homeimprovement,A,5000.0,6.99,0.07,N,7.0,False,True,0.4642857142857143,10000.0
26.0,69654.0,Mortgage,10.0,Medical,C,7500.0,7.664,0.11,Y,3.0,False,True,0.38461538461538464,23218.0
39.0,128000.0,Mortgage,12.0,Homeimprovement,C,20000.0,13.11,0.16,Y,15.0,True,True,0.3076923076923077,8533.333333333334
44.0,17112.0,Rent,4.0,Debtconsolidation,A,1200.0,7.66,0.07,N,14.0,False,True,0.09090909090909091,1222.2857142857142
26.0,94000.0,Mortgage,1.0,Debtconsolidation,A,5000.0,7.68,0.05,N,3.0,False,True,0.038461538461538464,31333.333333333332
29.0,66000.0,Mortgage,10.0,Debtconsolidation,B,7000.0,9.91,0.11,N,6.0,False,True,0.3448275862068966,11000.0
31.0,56000.0,Rent,15.0,Homeimprovement,C,3000.0,14.27,0.05,Y,5.0,False,True,0.4838709677419355,11200.0
25.0,85000.0,Mortgage,5.0,Education,C,9600.0,13.85,0.11,N,2.0,False,True,0.2,42500.0
25.0,30000.0,Rent,5.0,Personal,C,8000.0,12.87,0.27,N,4.0,False,True,0.2,7500.0
43.0,41000.0,Mortgage,7.0,Medical,C,6000.0,13.22,0.15,Y,16.0,False,True,0.16279069767441862,2562.5
28.0,91000.0,Mortgage,6.0,Personal,B,15000.0,9.88,0.16,N,9.0,False,True,0.21428571428571427,10111.111111111111
32.0,35000.0,Rent,2.0,Personal,B,5500.0,11.49,0.16,N,7.0,False,True,0.0625,5000.0
23.0,92500.0,Mortgage,5.0,Education,A,2500.0,11.146,0.03,N,2.0,False,True,0.21739130434782608,46250.0
28.0,36000.0,Mortgage,4.0,Medical,A,4000.0,6.91,0.11,N,8.0,False,True,0.14285714285714285,4500.0
32.0,180000.0,Mortgage,12.0,Personal,A,10000.0,7.9,0.06,N,10.0,False,True,0.375,18000.0
29.0,35000.0,Mortgage,1.0,Personal,A,3600.0,8.0,0.1,N,9.0,False,True,0.034482758620689655,3888.8888888888887
26.0,83957.0,Mortgage,4.0,Medical,A,3000.0,8.94,0.04,N,3.0,False,True,0.15384615384615385,27985.666666666668
36.0,62400.0,Mortgage,0.0,Personal,A,2400.0,7.49,0.04,N,14.0,False,True,0.0,4457.142857142857
39.0,72000.0,Mortgage,9.0,Debtconsolidation,B,15000.0,11.86,0.21,N,15.0,False,True,0.23076923076923078,4800.0
22.0,52800.0,Rent,3.0,Personal,D,7000.0,17.58,0.13,N,3.0,False,True,0.13636363636363635,17600.0
26.0,155142.0,Mortgage,6.0,Personal,D,23000.0,18.25,0.15,N,2.0,False,True,0.23076923076923078,77571.0
29.0,40800.0,Rent,2.0,Debtconsolidation,C,3500.0,11.97,0.09,Y,9.0,False,True,0.06896551724137931,4533.333333333333
28.0,116000.0,Mortgage,10.0,Medical,B,25000.0,12.18,0.22,N,10.0,False,True,0.35714285714285715,11600.0
29.0,145000.0,Mortgage,0.0,Venture,B,25000.0,10.08,0.17,N,8.0,False,True,0.0,18125.0
39.0,68000.0,Rent,1.0,Education,C,5000.0,13.49,0.07,Y,11.0,False,True,0.02564102564102564,6181.818181818182
27.0,97000.0,Mortgage,0.0,Venture,A,12000.0,6.91,0.12,N,7.0,False,True,0.0,13857.142857142857
25.0,40800.0,Rent,4.0,Debtconsolidation,D,1000.0,15.57,0.02,N,2.0,True,True,0.16,20400.0
24.0,56000.0,Rent,8.0,Personal,C,5000.0,14.27,0.09,N,4.0,False,True,0.3333333333333333,14000.0
33.0,76248.0,Mortgage,17.0,Education,A,10400.0,7.66,0.14,N,5.0,False,True,0.5151515151515151,15249.6
25.0,60000.0,Mortgage,5.0,Personal,A,10425.0,8.49,0.17,N,4.0,False,True,0.2,15000.0
27.0,82000.0,Mortgage,11.0,Venture,A,10000.0,7.51,0.12,N,6.0,False,True,0.4074074074074074,13666.666666666666
31.0,20000.0,Own,3.0,Personal,B,5000.0,11.83,0.25,N,7.0,False,True,0.0967741935483871,2857.1428571428573
33.0,99996.0,Mortgage,14.0,Personal,B,6000.0,11.11,0.06,N,7.0,False,True,0.42424242424242425,14285.142857142857
23.0,28800.0,Own,7.0,Medical,A,12250.0,7.51,0.43,N,4.0,False,True,0.30434782608695654,7200.0
50.0,42000.0,Mortgage,3.0,Homeimprovement,D,10000.0,14.84,0.24,Y,13.0,False,True,0.06,3230.769230769231
26.0,130000.0,Rent,0.0,Education,B,4000.0,10.99,0.03,N,3.0,False,True,0.0,43333.333333333336
23.0,80004.0,Mortgage,2.0,Venture,B,19000.0,10.62,0.24,N,2.0,False,True,0.08695652173913043,40002.0
31.0,54996.0,Rent,5.0,Personal,A,5000.0,8.0,0.09,N,9.0,False,True,0.16129032258064516,6110.666666666667
28.0,58200.0,Mortgage,8.0,Personal,B,4500.0,11.12,0.08,N,7.0,False,True,0.2857142857142857,8314.285714285714
29.0,80000.0,Mortgage,5.0,Medical,B,22000.0,10.59,0.28,N,10.0,False,True,0.1724137931034483,8000.0
26.0,27600.0,Own,2.0,Venture,B,2500.0,11.71,0.09,N,3.0,False,True,0.07692307692307693,9200.0
26.0,44000.0,Rent,10.0,Personal,C,8000.0,13.8,0.18,N,3.0,False,True,0.38461538461538464,14666.666666666666
35.0,14400.0,Own,2.0,Debtconsolidation,B,5550.0,10.37,0.39,N,8.0,True,True,0.05714285714285714,1800.0
23.0,51319.0,Mortgage,2.0,Venture,B,20000.0,10.37,0.39,N,3.0,False,True,0.08695652173913043,17106.333333333332
26.0,39672.0,Mortgage,10.0,Personal,D,11500.0,15.7,0.29,N,4.0,False,True,0.38461538461538464,9918.0
22.0,50000.0,Mortgage,6.0,Venture,C,10000.0,10.536,0.2,Y,3.0,False,True,0.2727272727272727,16666.666666666668
23.0,50952.0,Rent,0.0,Education,C,4000.0,11.54,0.08,Y,4.0,False,True,0.0,12738.0
33.0,30000.0,Mortgage,17.0,Homeimprovement,A,10000.0,5.79,0.33,N,6.0,False,True,0.5151515151515151,5000.0
29.0,80000.0,Rent,2.0,Debtconsolidation,C,28000.0,12.68,0.35,Y,10.0,True,True,0.06896551724137931,8000.0
23.0,60000.0,Rent,0.0,Venture,B,8000.0,11.14,0.13,N,3.0,False,True,0.0,20000.0
26.0,79500.0,Mortgage,1.0,Education,B,6000.0,11.36,0.08,N,2.0,False,True,0.038461538461538464,39750.0
24.0,42000.0,Mortgage,8.0,Homeimprovement,D,2500.0,15.28,0.06,N,2.0,False,True,0.3333333333333333,21000.0
22.0,39996.0,Rent,0.0,Personal,B,7500.0,11.86,0.19,N,3.0,False,True,0.0,13332.0
27.0,49500.0,Rent,6.0,Personal,C,6000.0,11.22,0.12,N,8.0,False,True,0.2222222222222222,6187.5
23.0,60000.0,Rent,1.0,Venture,B,8000.0,12.21,0.13,N,4.0,False,True,0.043478260869565216,15000.0
40.0,130000.0,Mortgage,0.0,Debtconsolidation,A,24250.0,6.17,0.19,N,16.0,False,True,0.0,8125.0
29.0,70000.0,Rent,6.0,Education,A,7000.0,7.74,0.1,N,6.0,False,True,0.20689655172413793,11666.666666666666
22.0,23000.0,Rent,2.0,Education,C,7750.0,9.336,0.34,Y,4.0,True,True,0.09090909090909091,5750.0
29.0,80496.0,Mortgage,2.0,Homeimprovement,C,10000.0,13.72,0.12,N,10.0,False,True,0.06896551724137931,8049.6
32.0,52000.0,Rent,0.0,Personal,B,2500.0,8.88,0.05,N,10.0,False,True,0.0,5200.0
25.0,45000.0,Rent,4.0,Debtconsolidation,C,15000.0,11.54,0.33,N,2.0,True,True,0.16,22500.0
26.0,110000.0,Mortgage,10.0,Venture,C,8000.0,14.35,0.07,Y,2.0,False,True,0.38461538461538464,55000.0
26.0,74500.0,Rent,8.0,Venture,B,5000.0,11.36,0.07,N,2.0,False,True,0.3076923076923077,37250.0
23.0,21888.0,Rent,8.0,Education,B,6600.0,11.11,0.3,N,2.0,False,True,0.34782608695652173,10944.0
26.0,16800.0,Rent,4.0,Personal,B,10625.0,11.072,0.63,N,3.0,True,True,0.15384615384615385,5600.0
22.0,125004.0,Mortgage,6.0,Education,A,28000.0,7.9,0.22,N,2.0,False,True,0.2727272727272727,62502.0
24.0,47000.0,Rent,3.0,Personal,A,6000.0,7.66,0.13,N,2.0,False,True,0.125,23500.0
26.0,62000.0,Mortgage,2.0,Personal,B,12000.0,7.964,0.19,N,4.0,False,True,0.07692307692307693,15500.0
25.0,35000.0,Rent,9.0,Venture,B,4800.0,11.14,0.14,N,2.0,False,True,0.36,17500.0
40.0,100010.0,Mortgage,11.0,Personal,B,8000.0,9.99,0.08,N,17.0,False,True,0.275,5882.941176470588
25.0,46800.0,Rent,5.0,Education,C,12000.0,13.11,0.26,N,4.0,True,True,0.2,11700.0
26.0,94000.0,Mortgage,1.0,Medical,A,5000.0,7.68,0.05,N,3.0,False,True,0.038461538461538464,31333.333333333332
39.0,11820.0,Rent,4.0,Medical,B,1500.0,11.11,0.13,N,11.0,False,True,0.10256410256410256,1074.5454545454545
23.0,23421.0,Rent,3.0,Medical,E,4500.0,17.99,0.19,Y,3.0,True,True,0.13043478260869565,7807.0
25.0,180000.0,Own,9.0,Medical,C,20000.0,14.26,0.11,Y,4.0,False,True,0.36,45000.0
24.0,59000.0,Rent,5.0,Medical,D,21500.0,16.89,0.36,N,3.0,True,True,0.20833333333333334,19666.666666666668
26.0,26400.0,Rent,6.0,Medical,C,6000.0,6.0,0.23,N,4.0,False,True,0.23076923076923078,6600.0
43.0,40000.0,Mortgage,3.0,Medical,B,18000.0,11.83,0.45,N,15.0,False,True,0.06976744186046512,2666.6666666666665
31.0,69000.0,Rent,2.0,Personal,A,14000.0,6.03,0.2,N,10.0,False,True,0.06451612903225806,6900.0
22.0,65000.0,Rent,6.0,Debtconsolidation,C,16000.0,13.47,0.25,Y,3.0,False,True,0.2727272727272727,21666.666666666668
24.0,50000.0,Rent,3.0,Homeimprovement,C,10000.0,14.27,0.2,Y,4.0,False,True,0.125,12500.0
24.0,80000.0,Mortgage,8.0,Education,B,18000.0,10.62,0.22,N,2.0,False,True,0.3333333333333333,40000.0
25.0,78000.0,Mortgage,9.0,Education,A,8000.0,7.9,0.1,N,4.0,False,True,0.36,19500.0
29.0,75000.0,Own,4.0,Education,D,5000.0,15.62,0.07,N,10.0,False,True,0.13793103448275862,7500.0
22.0,77000.0,Mortgage,6.0,Venture,A,12400.0,7.51,0.16,N,2.0,False,True,0.2727272727272727,38500.0
28.0,123000.0,Own,7.0,Personal,A,4000.0,8.59,0.03,N,5.0,False,True,0.25,24600.0
31.0,72000.0,Rent,0.0,Homeimprovement,A,8000.0,7.9,0.11,N,7.0,False,True,0.0,10285.714285714286
24.0,36000.0,Own,4.0,Education,A,6500.0,5.42,0.18,N,2.0,False,True,0.16666666666666666,18000.0
29.0,70000.0,Rent,13.0,Education,A,8000.0,7.49,0.11,N,5.0,False,True,0.4482758620689655,14000.0
21.0,33280.0,Rent,0.0,Venture,C,6000.0,13.23,0.18,Y,2.0,False,True,0.0,16640.0
44.0,200000.0,Mortgage,4.0,Venture,A,20000.0,7.51,0.1,N,11.0,False,True,0.09090909090909091,18181.81818181818
27.0,30000.0,Rent,8.0,Personal,B,11000.0,9.91,0.37,N,6.0,True,True,0.2962962962962963,5000.0
32.0,115000.0,Rent,2.0,Education,B,4000.0,12.69,0.03,N,10.0,False,True,0.0625,11500.0
21.0,26785.0,Rent,6.0,Medical,A,9000.0,7.9,0.34,N,4.0,True,True,0.2857142857142857,6696.25
24.0,98000.0,Mortgage,2.0,Personal,C,5000.0,13.22,0.05,Y,3.0,True,True,0.08333333333333333,32666.666666666668
21.0,17000.0,Rent,4.0,Debtconsolidation,B,7000.0,10.62,0.41,N,2.0,True,True,0.19047619047619047,8500.0
26.0,105400.0,Mortgage,6.0,Medical,D,24000.0,14.61,0.23,N,3.0,True,True,0.23076923076923078,35133.333333333336
22.0,60000.0,Rent,5.0,Debtconsolidation,C,2100.0,14.65,0.04,N,2.0,False,True,0.22727272727272727,30000.0
29.0,45500.0,Mortgage,6.0,Homeimprovement,B,10000.0,10.65,0.22,N,10.0,False,True,0.20689655172413793,4550.0
32.0,40000.0,Mortgage,16.0,Debtconsolidation,A,16000.0,5.99,0.4,N,10.0,False,True,0.5,4000.0
23.0,10000.0,Rent,4.0,Personal,B,1000.0,10.37,0.1,N,2.0,True,True,0.17391304347826086,5000.0
23.0,88000.0,Mortgage,7.0,Medical,A,10000.0,8.94,0.11,N,2.0,False,True,0.30434782608695654,44000.0
28.0,20000.0,Rent,0.0,Medical,B,2150.0,10.37,0.11,N,6.0,False,True,0.0,3333.3333333333335
22.0,65000.0,Rent,6.0,Medical,A,16000.0,8.49,0.25,N,4.0,False,True,0.2727272727272727,16250.0
23.0,150000.0,Mortgage,7.0,Medical,B,28000.0,9.99,0.19,N,3.0,False,True,0.30434782608695654,50000.0
34.0,65000.0,Mortgage,3.0,Venture,A,5000.0,6.99,0.08,N,7.0,False,True,0.08823529411764706,9285.714285714286
27.0,48000.0,Mortgage,5.0,Debtconsolidation,B,4300.0,12.69,0.09,N,7.0,False,True,0.18518518518518517,6857.142857142857
32.0,78000.0,Rent,0.0,Education,C,13000.0,12.87,0.17,Y,10.0,False,True,0.0,7800.0
24.0,49278.0,Rent,4.0,Debtconsolidation,C,11000.0,13.22,0.22,Y,2.0,False,True,0.16666666666666666,24639.0
25.0,48000.0,Rent,8.0,Medical,A,11000.0,7.51,0.23,N,4.0,False,True,0.32,12000.0
31.0,30000.0,Rent,4.0,Debtconsolidation,D,10000.0,14.42,0.33,N,9.0,True,True,0.12903225806451613,3333.3333333333335
25.0,26780.0,Rent,0.0,Debtconsolidation,B,6000.0,9.25,0.22,N,4.0,False,True,0.0,6695.0
24.0,41000.0,Rent,1.0,Medical,C,7000.0,12.53,0.17,N,2.0,False,True,0.041666666666666664,20500.0
27.0,71500.0,Mortgage,2.0,Education,A,15000.0,11.936,0.21,N,8.0,False,True,0.07407407407407407,8937.5
23.0,95000.0,Rent,2.0,Venture,A,28000.0,7.9,0.29,N,2.0,True,True,0.08695652173913043,47500.0
25.0,33280.0,Rent,1.0,Personal,B,5500.0,13.602,0.17,N,2.0,False,True,0.04,16640.0
24.0,48000.0,Rent,8.0,Medical,C,6000.0,12.22,0.12,Y,4.0,False,True,0.3333333333333333,12000.0
27.0,78000.0,Own,4.0,Venture,B,6000.0,12.18,0.08,N,10.0,False,True,0.14814814814814814,7800.0
23.0,46500.0,Rent,0.0,Personal,C,10000.0,14.26,0.22,Y,3.0,True,True,0.0,15500.0
23.0,78000.0,Rent,5.0,Venture,D,3000.0,16.89,0.04,N,3.0,False,True,0.21739130434782608,26000.0
37.0,32000.0,Rent,4.0,Debtconsolidation,C,10000.0,13.79,0.31,N,15.0,True,True,0.10810810810810811,2133.3333333333335
31.0,73000.0,Mortgage,9.0,Debtconsolidation,E,18000.0,17.39,0.25,Y,10.0,True,True,0.2903225806451613,7300.0
32.0,65000.0,Rent,4.0,Medical,A,6000.0,7.49,0.09,N,5.0,False,True,0.125,13000.0
38.0,45600.0,Rent,5.0,Venture,D,9000.0,16.29,0.2,Y,13.0,False,True,0.13157894736842105,3507.6923076923076
31.0,97500.0,Mortgage,3.0,Medical,A,6000.0,7.51,0.06,N,9.0,False,True,0.0967741935483871,10833.333333333334
22.0,64000.0,Mortgage,3.0,Debtconsolidation,B,14400.0,11.71,0.22,N,2.0,True,True,0.13636363636363635,32000.0
28.0,178000.0,Rent,5.0,Education,D,25000.0,14.46,0.14,Y,7.0,True,True,0.17857142857142858,25428.571428571428
30.0,43500.0,Mortgage,5.0,Education,C,11250.0,13.61,0.26,Y,9.0,False,True,0.16666666666666666,4833.333333333333
33.0,12000.0,Rent,4.0,Education,A,1000.0,7.88,0.08,N,7.0,True,True,0.12121212121212122,1714.2857142857142
27.0,50000.0,Rent,0.0,Education,A,8000.0,7.9,0.16,N,8.0,False,True,0.0,6250.0
28.0,62000.0,Rent,3.0,Medical,B,9200.0,10.0,0.15,N,9.0,False,True,0.10714285714285714,6888.888888888889
37.0,220000.0,Rent,0.0,Education,B,28000.0,9.91,0.13,N,17.0,False,True,0.0,12941.176470588236
37.0,45996.0,Mortgage,11.0,Venture,B,6000.0,9.25,0.13,N,16.0,False,True,0.2972972972972973,2874.75
33.0,24000.0,Rent,3.0,Education,B,1600.0,8.88,0.07,N,6.0,False,True,0.09090909090909091,4000.0
29.0,62532.0,Rent,6.0,Venture,C,9000.0,13.49,0.14,N,6.0,False,True,0.20689655172413793,10422.0
24.0,37000.0,Other,2.0,Education,B,5000.0,11.58,0.14,N,3.0,False,True,0.08333333333333333,12333.333333333334
35.0,26400.0,Rent,4.0,Personal,B,8000.0,8.854,0.3,N,8.0,False,True,0.11428571428571428,3300.0
25.0,35000.0,Mortgage,5.0,Homeimprovement,B,10000.0,11.99,0.29,N,4.0,False,True,0.2,8750.0
